id_cliente,consumo_kwh,uso_horario_pico,quantidade_equipamentos,tipo_imovel,horas_alto_consumo,categoria_maior_consumo
86,546.0,False,15,Casa,6.5,Eletrodomésticos
87,692.0,True,10,Casa,11.8,Refrigeração
88,490.6,True,17,Apartamento,11.8,Tecnologia
89,791.6,False,10,Comercial,10.1,Outros
90,415.0,False,6,Casa,4.6,Eletrodomésticos
91,512.8,False,20,Casa,5.0,Outros
92,512.0,True,22,Apartamento,5.3,Tecnologia
93,659.6,False,25,Casa,9.3,Climatização
94,754.3,True,9,Comercial,5.6,Climatização
95,788.2,True,16,Comercial,1.8,Refrigeração
96,551.8,False,20,Apartamento,11.0,Tecnologia
97,561.2,False,25,Casa,10.4,Outros
98,951.1,False,20,Comercial,9.1,Climatização
99,460.6,False,9,Casa,5.1,Eletrodomésticos
100,754.0,True,19,Comercial,0.3,Refrigeração
101,403.4,True,11,Casa,1.5,Outros
102,482.7,False,24,Apartamento,0.3,Serviços
103,600.7,False,25,Casa,6.0,Tecnologia
104,871.4,True,17,Comercial,7.4,Refrigeração
105,404.0,False,11,Casa,1.7,Refrigeração
106,754.8,True,12,Comercial,2.1,Refrigeração
107,798.3,True,11,Comercial,9.8,Eletrodomésticos
108,525.3,False,22,Casa,9.8,Iluminação
109,279.7,False,1,Apartamento,8.9,Serviços
110,832.8,False,22,Comercial,4.2,Refrigeração
111,429.7,False,4,Casa,9.5,Climatização
112,431.7,False,11,Apartamento,7.2,Iluminação
113,599.8,False,25,Apartamento,7.0,Serviços
114,396.5,False,7,Casa,5.0,Eletrodomésticos
115,525.9,False,22,Casa,1.3,Eletrodomésticos
116,533.7,True,17,Apartamento,4.5,Refrigeração
117,657.7,True,13,Casa,7.1,Serviços
118,712.8,True,16,Casa,12.0,Iluminação
119,320.3,True,5,Apartamento,7.8,Tecnologia
120,487.4,True,8,Apartamento,11.6,Eletrodomésticos
121,543.8,True,16,Casa,1.5,Tecnologia
122,500.3,True,8,Casa,4.2,Eletrodomésticos
123,382.5,False,7,Apartamento,6.1,Eletrodomésticos
124,747.5,False,16,Comercial,5.2,Iluminação
125,727.4,True,4,Comercial,9.5,Climatização
126,638.5,True,14,Casa,9.3,Tecnologia
127,506.5,False,21,Apartamento,9.5,Tecnologia
128,508.6,False,11,Casa,5.9,Climatização
129,621.5,False,2,Comercial,8.3,Refrigeração
130,735.8,True,18,Comercial,0.5,Iluminação
131,709.9,True,22,Apartamento,9.0,Iluminação
132,318.0,True,8,Apartamento,1.1,Tecnologia
133,740.3,False,22,Casa,11.3,Refrigeração
134,404.5,False,16,Apartamento,6.8,Refrigeração
135,419.4,False,6,Casa,4.3,Iluminação
136,798.3,True,24,Comercial,3.1,Outros
137,421.3,False,13,Casa,1.0,Iluminação
138,428.7,True,7,Apartamento,7.6,Tecnologia
139,560.5,False,24,Apartamento,6.3,Eletrodomésticos
140,488.3,False,10,Apartamento,11.5,Iluminação
141,287.1,True,3,Apartamento,4.0,Climatização
142,959.9,True,20,Comercial,9.4,Climatização
143,637.6,True,8,Comercial,4.0,Refrigeração
144,356.6,False,7,Apartamento,10.4,Outros
145,548.4,False,21,Casa,4.3,Serviços
146,621.5,False,25,Apartamento,7.9,Outros
147,378.6,True,6,Apartamento,7.4,Outros
148,489.6,False,5,Casa,7.4,Iluminação
149,867.5,False,21,Comercial,8.4,Refrigeração
150,433.9,True,12,Apartamento,6.8,Serviços
151,302.6,False,8,Apartamento,1.8,Iluminação
152,916.3,True,24,Comercial,10.2,Refrigeração
153,448.7,True,9,Casa,8.8,Climatização
154,709.4,True,7,Comercial,10.6,Refrigeração
155,653.5,False,15,Casa,8.8,Tecnologia
156,413.4,True,3,Apartamento,11.7,Iluminação
157,455.2,True,22,Apartamento,4.4,Refrigeração
158,495.3,False,24,Apartamento,5.0,Eletrodomésticos
159,715.2,False,9,Comercial,8.6,Eletrodomésticos
160,1026.9,True,24,Comercial,5.2,Climatização
161,843.1,True,10,Comercial,11.7,Iluminação
162,755.8,False,18,Comercial,6.7,Climatização
163,465.1,False,11,Casa,4.5,Iluminação
164,379.3,False,8,Casa,6.9,Iluminação
165,472.0,True,14,Apartamento,11.3,Climatização
166,474.4,True,13,Apartamento,8.5,Outros
167,543.1,True,18,Apartamento,6.7,Refrigeração
168,677.9,True,25,Apartamento,8.3,Iluminação
169,541.4,True,15,Apartamento,10.6,Tecnologia
170,617.2,False,23,Casa,3.8,Iluminação
171,591.0,True,6,Casa,11.5,Outros
172,483.4,False,12,Casa,5.4,Climatização
173,720.6,True,14,Casa,10.8,Outros
174,793.3,True,15,Comercial,6.2,Refrigeração
175,413.6,False,2,Casa,11.7,Tecnologia
176,509.7,True,5,Casa,9.9,Iluminação
177,541.9,False,1,Comercial,0.6,Climatização
178,791.2,True,23,Comercial,5.1,Refrigeração
179,285.2,True,6,Apartamento,1.2,Refrigeração
180,734.9,True,15,Comercial,5.2,Climatização
181,867.2,True,25,Comercial,6.5,Climatização
182,364.6,True,9,Apartamento,4.0,Tecnologia
183,491.2,False,11,Casa,7.4,Refrigeração
184,376.5,True,9,Apartamento,2.3,Outros
185,610.5,False,11,Comercial,1.3,Climatização
186,809.8,True,23,Casa,11.5,Iluminação
187,834.2,False,17,Comercial,12.0,Refrigeração
188,878.0,True,21,Comercial,7.4,Refrigeração
189,959.2,False,25,Comercial,8.6,Iluminação
190,859.1,False,24,Comercial,4.9,Climatização
191,437.7,True,16,Apartamento,4.0,Climatização
192,512.0,True,11,Casa,5.7,Refrigeração
193,576.9,False,23,Apartamento,7.6,Refrigeração
194,543.6,True,16,Casa,3.4,Serviços
195,477.7,True,8,Casa,7.4,Climatização
196,679.9,True,17,Casa,10.1,Serviços
197,676.9,False,6,Comercial,7.5,Outros
198,410.5,False,16,Casa,1.2,Serviços
199,712.4,False,6,Comercial,7.8,Climatização
200,420.2,True,18,Apartamento,5.6,Serviços
201,783.8,False,15,Comercial,5.2,Serviços
202,580.1,False,21,Casa,3.7,Outros
203,832.5,True,16,Comercial,4.6,Refrigeração
204,728.0,True,22,Casa,8.9,Outros
205,524.4,True,20,Casa,1.9,Iluminação
206,626.1,False,11,Casa,11.2,Eletrodomésticos
207,772.9,True,18,Comercial,1.0,Refrigeração
208,503.9,True,21,Apartamento,9.5,Outros
209,780.3,False,15,Comercial,6.8,Climatização
210,895.7,False,22,Comercial,5.1,Tecnologia
211,463.2,True,13,Apartamento,10.8,Iluminação
212,694.2,False,10,Comercial,10.3,Refrigeração
213,808.8,True,22,Comercial,4.7,Climatização
214,891.8,False,19,Comercial,10.9,Climatização
215,697.1,False,17,Comercial,7.6,Refrigeração
216,408.2,False,8,Casa,4.0,Refrigeração
217,635.2,True,3,Comercial,3.8,Eletrodomésticos
218,296.4,False,5,Apartamento,4.8,Climatização
219,776.9,False,12,Comercial,8.4,Outros
220,608.9,True,25,Casa,4.0,Eletrodomésticos
221,303.2,False,12,Apartamento,3.4,Tecnologia
222,715.2,True,12,Comercial,0.3,Tecnologia
223,617.6,True,8,Casa,12.0,Climatização
224,509.9,True,25,Apartamento,1.5,Iluminação
225,674.6,False,20,Casa,11.1,Eletrodomésticos
226,552.4,False,22,Apartamento,3.3,Tecnologia
227,688.1,True,8,Comercial,3.9,Refrigeração
228,421.9,False,8,Casa,8.1,Serviços
229,467.6,True,19,Apartamento,6.1,Tecnologia
230,876.5,True,19,Comercial,11.4,Climatização
231,381.3,False,6,Apartamento,10.0,Eletrodomésticos
232,486.1,False,16,Casa,3.2,Outros
233,501.3,True,23,Apartamento,2.3,Outros
234,746.2,True,6,Comercial,9.2,Refrigeração
235,656.3,True,24,Casa,5.6,Iluminação
236,685.3,True,18,Comercial,2.0,Climatização
237,793.6,True,11,Comercial,3.8,Refrigeração
238,500.6,False,1,Comercial,3.6,Climatização
239,349.9,True,14,Apartamento,5.5,Outros
240,478.1,True,11,Apartamento,9.8,Climatização
241,477.3,True,10,Casa,3.0,Outros
242,331.0,False,2,Casa,6.9,Climatização
243,574.9,True,12,Apartamento,11.6,Serviços
244,334.9,True,12,Apartamento,4.8,Climatização
245,409.8,True,2,Casa,6.6,Outros
246,625.0,True,22,Casa,7.6,Tecnologia
247,870.3,True,16,Comercial,7.1,Refrigeração
248,501.9,False,22,Apartamento,3.6,Outros
249,664.7,True,22,Casa,2.6,Eletrodomésticos
250,827.0,True,10,Comercial,9.4,Iluminação
251,251.5,False,10,Apartamento,0.6,Eletrodomésticos
252,359.2,False,4,Apartamento,10.2,Serviços
253,831.7,True,22,Comercial,4.1,Refrigeração
254,569.8,True,21,Apartamento,4.7,Outros
255,324.0,False,2,Apartamento,7.1,Outros
256,554.4,True,23,Apartamento,3.2,Iluminação
257,395.0,False,17,Apartamento,4.2,Serviços
258,333.3,True,4,Apartamento,11.1,Eletrodomésticos
259,665.7,False,3,Comercial,10.8,Eletrodomésticos
260,654.4,False,12,Comercial,0.0,Eletrodomésticos
261,602.3,False,4,Comercial,3.9,Refrigeração
262,575.1,False,1,Comercial,0.4,Eletrodomésticos
263,814.2,False,22,Comercial,6.5,Eletrodomésticos
264,936.4,False,25,Comercial,9.9,Climatização
265,414.0,True,7,Apartamento,2.9,Tecnologia
266,675.2,False,3,Comercial,6.5,Eletrodomésticos
267,363.7,False,4,Apartamento,9.1,Iluminação
268,563.7,True,17,Casa,2.9,Serviços
269,843.6,True,10,Comercial,11.3,Iluminação
270,373.7,True,17,Apartamento,3.3,Iluminação
271,463.8,False,24,Apartamento,4.5,Refrigeração
272,730.5,False,5,Comercial,9.3,Refrigeração
273,820.9,True,17,Comercial,7.4,Iluminação
274,622.7,True,23,Casa,2.4,Eletrodomésticos
275,484.4,False,6,Casa,11.8,Eletrodomésticos
276,696.2,False,8,Comercial,6.8,Refrigeração
277,724.3,True,10,Comercial,4.5,Iluminação
278,202.2,False,2,Casa,1.1,Climatização
279,590.3,True,4,Comercial,4.8,Serviços
280,438.2,False,17,Apartamento,2.6,Eletrodomésticos
281,413.4,False,10,Casa,3.0,Tecnologia
282,834.7,True,18,Comercial,5.0,Refrigeração
283,706.6,True,12,Comercial,0.7,Refrigeração
284,696.7,False,11,Comercial,2.9,Serviços
285,289.4,False,10,Apartamento,1.9,Eletrodomésticos
286,519.2,False,25,Apartamento,12.0,Climatização
287,1014.0,True,25,Comercial,11.1,Refrigeração
288,540.3,True,1,Comercial,1.4,Climatização
289,388.9,True,7,Apartamento,8.3,Climatização
290,796.5,True,7,Comercial,7.9,Climatização
291,551.8,False,21,Casa,9.6,Serviços
292,662.8,True,21,Casa,11.9,Outros
293,633.0,False,7,Comercial,5.5,Outros
294,537.6,True,15,Apartamento,10.7,Climatização
295,323.8,True,2,Apartamento,8.4,Iluminação
296,482.3,False,14,Casa,4.6,Climatização
297,485.9,False,15,Apartamento,9.1,Outros
298,503.1,True,7,Casa,7.0,Eletrodomésticos
299,337.3,True,4,Casa,1.3,Iluminação
300,574.6,True,19,Apartamento,11.5,Serviços
301,435.1,True,14,Apartamento,5.0,Climatização
302,708.9,False,12,Comercial,1.0,Climatização
303,568.9,True,12,Casa,9.1,Tecnologia
304,875.9,True,13,Comercial,8.8,Tecnologia
305,920.3,True,16,Comercial,11.7,Serviços
306,451.8,False,17,Apartamento,5.4,Refrigeração
307,386.1,False,23,Apartamento,3.1,Iluminação
308,402.3,True,2,Apartamento,5.1,Eletrodomésticos
309,446.3,False,14,Apartamento,11.8,Serviços
310,665.3,True,20,Casa,2.6,Refrigeração
311,344.0,False,8,Casa,7.0,Tecnologia
312,540.1,False,3,Comercial,1.1,Outros
313,651.4,True,5,Comercial,3.5,Outros
314,379.0,False,9,Casa,5.3,Outros
315,709.4,False,7,Comercial,8.1,Refrigeração
316,370.1,False,5,Apartamento,9.0,Iluminação
317,629.0,True,12,Comercial,1.4,Climatização
318,626.5,True,24,Apartamento,9.1,Climatização
319,823.2,False,15,Comercial,7.2,Climatização
320,485.3,True,12,Apartamento,3.5,Serviços
321,331.1,False,3,Casa,2.8,Iluminação
322,411.0,True,9,Apartamento,4.4,Serviços
323,408.3,True,12,Casa,0.8,Refrigeração
324,423.5,False,3,Casa,10.1,Climatização
325,665.8,True,21,Casa,8.4,Outros
326,594.8,False,4,Comercial,2.5,Climatização
327,937.9,True,18,Comercial,7.3,Refrigeração
328,639.6,False,23,Casa,9.9,Serviços
329,721.6,False,24,Casa,11.2,Eletrodomésticos
330,755.0,True,19,Comercial,1.0,Climatização
331,261.2,True,1,Apartamento,1.6,Tecnologia
332,462.8,True,20,Apartamento,8.3,Serviços
333,618.3,True,17,Casa,3.1,Tecnologia
334,727.6,True,8,Comercial,9.6,Refrigeração
335,501.2,False,12,Apartamento,11.7,Iluminação
336,412.4,False,8,Casa,4.0,Eletrodomésticos
337,409.0,True,16,Apartamento,5.2,Climatização
338,725.4,False,17,Comercial,2.0,Refrigeração
339,376.6,False,15,Apartamento,3.1,Eletrodomésticos
340,662.6,False,1,Comercial,7.0,Tecnologia
341,409.6,True,11,Apartamento,7.4,Climatização
342,706.6,True,22,Casa,10.5,Tecnologia
343,708.0,False,23,Casa,8.9,Refrigeração
344,824.6,True,17,Comercial,5.0,Climatização
345,353.3,True,7,Casa,1.5,Climatização
346,775.9,True,11,Comercial,7.9,Refrigeração
347,395.4,True,5,Casa,1.4,Tecnologia
348,781.5,False,19,Comercial,4.6,Serviços
349,450.9,False,21,Apartamento,4.7,Iluminação
350,469.9,True,14,Apartamento,7.3,Tecnologia
351,369.9,True,16,Apartamento,2.1,Serviços
352,410.1,False,14,Apartamento,4.5,Outros
353,613.1,True,24,Casa,2.1,Tecnologia
354,462.3,False,20,Apartamento,6.9,Iluminação
355,733.4,True,24,Casa,7.8,Eletrodomésticos
356,365.3,True,1,Apartamento,9.0,Iluminação
357,696.0,True,18,Casa,7.1,Serviços
358,496.4,False,18,Casa,1.0,Tecnologia
359,241.0,False,5,Apartamento,6.7,Tecnologia
360,134.9,False,1,Apartamento,0.7,Eletrodomésticos
361,143.7,False,1,Apartamento,0.7,Tecnologia
362,942.6,False,24,Comercial,6.1,Serviços
363,451.1,True,2,Apartamento,11.8,Refrigeração
364,282.8,True,7,Apartamento,2.9,Climatização
365,711.2,True,20,Casa,7.8,Climatização
366,850.4,True,24,Comercial,4.6,Refrigeração
367,659.3,True,16,Casa,9.4,Outros
368,377.3,False,17,Apartamento,7.4,Climatização
369,722.0,False,13,Comercial,5.2,Refrigeração
370,652.0,True,15,Casa,10.3,Tecnologia
371,421.9,True,13,Apartamento,3.3,Tecnologia
372,537.4,True,18,Apartamento,4.0,Outros
373,638.2,False,7,Comercial,3.0,Refrigeração
374,270.2,False,2,Casa,4.0,Outros
375,301.0,True,9,Apartamento,0.9,Tecnologia
376,666.7,False,24,Casa,5.5,Outros
377,573.8,True,23,Apartamento,10.4,Tecnologia
378,717.9,False,6,Comercial,6.8,Refrigeração
379,224.5,False,4,Apartamento,5.5,Outros
380,420.4,False,13,Apartamento,6.5,Eletrodomésticos
381,381.4,True,1,Casa,3.1,Serviços
382,622.6,True,3,Comercial,1.6,Refrigeração
383,822.1,True,23,Comercial,4.9,Refrigeração
384,521.8,False,12,Casa,7.7,Iluminação
385,449.7,True,7,Apartamento,11.3,Tecnologia
386,779.1,False,6,Comercial,11.1,Refrigeração
387,413.0,False,8,Apartamento,8.4,Refrigeração
388,433.9,False,10,Apartamento,8.6,Iluminação
389,766.7,True,8,Comercial,7.5,Climatização
390,783.6,False,16,Comercial,7.9,Refrigeração
391,371.4,True,16,Apartamento,2.1,Outros
392,226.5,True,3,Apartamento,2.2,Serviços
393,673.1,False,8,Comercial,5.3,Climatização
394,814.7,False,18,Comercial,3.2,Serviços
395,745.2,False,18,Comercial,0.9,Climatização
396,451.6,True,8,Casa,1.3,Refrigeração
397,795.6,True,16,Comercial,9.2,Refrigeração
398,470.6,True,3,Casa,10.3,Climatização
399,474.4,True,22,Apartamento,1.1,Iluminação
400,243.8,False,2,Casa,0.4,Iluminação
401,730.7,False,10,Comercial,6.2,Serviços
402,860.5,False,21,Comercial,10.3,Climatização
403,266.2,True,2,Apartamento,3.1,Outros
404,626.0,False,21,Casa,10.5,Climatização
405,682.0,False,16,Comercial,3.4,Serviços
406,900.6,True,15,Comercial,10.5,Tecnologia
407,816.9,False,19,Comercial,8.2,Refrigeração
408,303.1,True,2,Apartamento,5.6,Eletrodomésticos
409,340.2,True,5,Apartamento,3.4,Refrigeração
410,378.4,False,2,Casa,3.4,Tecnologia
411,772.9,True,20,Comercial,5.3,Refrigeração
412,270.5,True,14,Apartamento,1.5,Climatização
413,785.6,False,23,Comercial,9.9,Serviços
414,350.1,False,16,Apartamento,3.7,Outros
415,429.1,True,25,Apartamento,0.5,Iluminação
416,904.1,False,19,Comercial,11.6,Refrigeração
417,782.1,True,18,Comercial,6.3,Refrigeração
418,639.7,False,8,Comercial,7.7,Tecnologia
419,291.7,False,4,Apartamento,1.4,Outros
420,443.1,True,10,Apartamento,4.8,Eletrodomésticos
421,374.6,True,10,Apartamento,4.6,Eletrodomésticos
422,566.2,True,20,Apartamento,11.5,Eletrodomésticos
423,566.9,True,21,Casa,3.3,Tecnologia
424,689.3,True,25,Apartamento,10.0,Tecnologia
425,603.8,True,24,Apartamento,11.2,Iluminação
426,781.8,False,17,Comercial,1.3,Climatização
427,511.5,True,18,Apartamento,11.6,Outros
428,257.0,False,3,Apartamento,2.9,Refrigeração
429,342.4,True,8,Apartamento,3.3,Refrigeração
430,299.4,False,11,Apartamento,2.7,Serviços
431,424.5,True,9,Apartamento,8.1,Climatização
432,462.0,False,24,Apartamento,1.2,Eletrodomésticos
433,463.7,True,15,Casa,0.8,Serviços
434,815.1,True,16,Comercial,10.5,Climatização
435,526.0,False,19,Apartamento,10.6,Serviços
436,591.7,True,18,Apartamento,9.5,Outros
437,830.5,True,12,Comercial,7.2,Refrigeração
438,617.4,True,15,Casa,8.7,Serviços
439,642.7,False,2,Comercial,8.3,Refrigeração
440,265.9,True,4,Apartamento,0.7,Eletrodomésticos
441,468.4,False,15,Casa,3.6,Iluminação
442,778.5,True,23,Comercial,0.6,Outros
443,587.9,False,24,Casa,7.3,Refrigeração
444,454.9,False,11,Casa,5.9,Outros
445,703.4,False,16,Comercial,2.7,Refrigeração
446,584.5,False,22,Casa,0.9,Refrigeração
447,492.8,False,10,Casa,5.1,Tecnologia
448,861.6,True,19,Comercial,8.1,Refrigeração
449,423.6,False,3,Casa,9.9,Outros
450,691.3,True,18,Casa,8.4,Iluminação
451,744.1,False,25,Casa,11.3,Serviços
452,356.4,False,7,Apartamento,11.9,Iluminação
453,315.7,True,2,Apartamento,3.4,Iluminação
454,681.2,True,7,Comercial,6.8,Refrigeração
455,809.7,True,13,Comercial,9.5,Tecnologia
456,515.9,True,23,Casa,2.7,Climatização
457,436.3,False,19,Apartamento,6.6,Refrigeração
458,836.0,False,23,Comercial,6.3,Serviços
459,367.4,True,14,Apartamento,1.8,Serviços
460,545.6,False,9,Casa,11.5,Climatização
461,811.0,False,13,Comercial,11.5,Climatização
462,643.6,False,17,Comercial,3.2,Serviços
463,624.5,False,14,Casa,9.2,Refrigeração
464,487.0,False,21,Apartamento,7.0,Iluminação
465,726.7,False,20,Comercial,5.1,Serviços
466,419.6,True,2,Casa,6.5,Iluminação
467,296.9,True,3,Apartamento,4.0,Tecnologia
468,289.6,False,1,Casa,2.5,Iluminação
469,374.9,False,4,Casa,5.2,Serviços
470,581.5,True,8,Casa,10.5,Iluminação
471,414.2,True,16,Apartamento,0.5,Climatização
472,463.6,False,14,Apartamento,8.7,Iluminação
473,546.7,True,25,Apartamento,4.3,Climatização
474,505.0,True,3,Casa,8.0,Eletrodomésticos
475,556.8,True,24,Casa,7.8,Outros
476,427.7,False,9,Casa,6.6,Outros
477,538.3,False,19,Casa,8.1,Serviços
478,500.9,False,20,Casa,3.0,Serviços
479,707.0,True,24,Casa,4.6,Iluminação
480,449.8,False,11,Casa,4.0,Tecnologia
481,644.0,False,7,Comercial,0.7,Refrigeração
482,437.6,True,14,Apartamento,3.6,Refrigeração
483,219.1,False,4,Apartamento,0.4,Serviços
484,891.9,True,22,Comercial,4.8,Serviços
485,937.1,True,23,Comercial,6.3,Refrigeração
486,414.9,True,4,Casa,0.2,Tecnologia
487,687.9,True,12,Comercial,3.9,Eletrodomésticos
488,438.2,True,20,Apartamento,1.6,Tecnologia
489,327.6,False,2,Apartamento,7.2,Refrigeração
490,765.2,False,13,Comercial,11.7,Climatização
491,513.7,True,16,Casa,7.1,Outros
492,708.3,True,7,Comercial,9.0,Refrigeração
493,862.3,True,16,Comercial,9.4,Refrigeração
494,602.2,True,13,Casa,10.5,Refrigeração
495,519.3,True,21,Casa,0.7,Refrigeração
496,387.0,False,3,Casa,7.6,Iluminação
497,418.5,False,7,Casa,4.1,Iluminação
498,807.3,True,11,Comercial,5.3,Refrigeração
499,470.1,True,3,Casa,10.5,Eletrodomésticos
500,339.0,True,9,Casa,1.3,Climatização
501,531.8,True,7,Casa,5.4,Refrigeração
502,856.6,True,18,Comercial,8.6,Refrigeração
503,586.5,False,10,Casa,10.5,Refrigeração
504,741.6,False,6,Comercial,9.8,Refrigeração
505,214.3,False,5,Apartamento,2.4,Refrigeração
506,488.1,True,14,Casa,5.0,Outros
507,657.0,True,5,Comercial,6.1,Refrigeração
508,380.6,False,10,Apartamento,8.2,Tecnologia
509,573.5,True,13,Casa,8.2,Iluminação
510,539.6,True,18,Apartamento,7.4,Serviços
511,564.8,True,23,Casa,1.1,Climatização
512,787.6,False,19,Comercial,7.3,Outros
513,225.9,False,4,Apartamento,7.3,Outros
514,711.7,True,24,Casa,7.7,Serviços
515,798.9,True,16,Comercial,0.3,Climatização
516,633.6,True,13,Casa,7.7,Climatização
517,517.2,True,21,Apartamento,6.2,Eletrodomésticos
518,694.7,False,25,Casa,8.6,Tecnologia
519,671.9,True,5,Comercial,3.8,Refrigeração
520,571.5,True,20,Apartamento,8.8,Tecnologia
521,726.7,False,11,Comercial,5.7,Refrigeração
522,657.7,True,5,Comercial,6.2,Climatização
523,692.2,True,7,Comercial,2.7,Refrigeração
524,623.8,True,22,Apartamento,11.6,Outros
525,536.6,False,25,Apartamento,3.9,Refrigeração
526,592.1,True,22,Casa,7.9,Climatização
527,471.2,False,11,Casa,10.7,Outros
528,514.4,True,24,Apartamento,3.5,Serviços
529,451.3,False,11,Apartamento,10.3,Tecnologia
530,750.6,True,21,Casa,5.7,Eletrodomésticos
531,842.5,True,11,Comercial,11.3,Iluminação
532,464.6,True,6,Casa,3.7,Outros
533,437.0,True,7,Casa,6.9,Iluminação
534,402.7,False,5,Casa,7.7,Outros
535,435.3,True,13,Apartamento,8.1,Outros
536,444.3,True,16,Apartamento,1.0,Serviços
537,515.2,True,17,Casa,2.9,Climatização
538,867.4,True,15,Comercial,10.7,Climatização
539,417.3,True,2,Apartamento,9.4,Climatização
540,459.8,False,24,Casa,1.1,Tecnologia
541,740.8,False,15,Comercial,4.9,Climatização
542,647.1,True,2,Comercial,7.1,Serviços
543,806.3,False,14,Comercial,2.4,Climatização
544,482.2,True,24,Apartamento,2.5,Climatização
545,352.4,False,3,Casa,5.3,Outros
546,335.1,True,20,Apartamento,1.5,Refrigeração
547,433.6,True,5,Casa,9.3,Tecnologia
548,636.6,True,21,Casa,6.9,Climatização
549,340.0,False,9,Apartamento,4.3,Serviços
550,727.8,True,13,Comercial,2.8,Climatização
