id_cliente,consumo_kwh,uso_horario_pico,quantidade_equipamentos,tipo_imovel,horas_alto_consumo,categoria_maior_consumo,categoria
183,491.2,0,11,Casa,7.4,Refrigeração,Bom
184,376.5,1,9,Apartamento,2.3,Outros,Ruim
185,610.5,0,11,Comercial,1.3,Climatização,Excelente
186,809.8,1,23,Casa,11.5,Iluminação,Crítico
187,834.2,0,17,Comercial,12.0,Refrigeração,Bom
188,878.0,1,21,Comercial,7.4,Refrigeração,Crítico
189,959.2,0,25,Comercial,8.6,Iluminação,Mediano
190,859.1,0,24,Comercial,4.9,Climatização,Bom
191,437.7,1,16,Apartamento,4.0,Climatização,Crítico
192,512.0,1,11,Casa,5.7,Refrigeração,Ruim
193,576.9,0,23,Apartamento,7.6,Refrigeração,Ruim
194,543.6,1,16,Casa,3.4,Serviços,Ruim
195,477.7,1,8,Casa,7.4,Climatização,Ruim
196,679.9,1,17,Casa,10.1,Serviços,Crítico
197,676.9,0,6,Comercial,7.5,Outros,Excelente
198,410.5,0,16,Casa,1.2,Serviços,Excelente
199,712.4,0,6,Comercial,7.8,Climatização,Excelente
200,420.2,1,18,Apartamento,5.6,Serviços,Crítico
201,783.8,0,15,Comercial,5.2,Serviços,Bom
202,580.1,0,21,Casa,3.7,Outros,Bom
203,832.5,1,16,Comercial,4.6,Refrigeração,Ruim
204,728.0,1,22,Casa,8.9,Outros,Crítico
205,524.4,1,20,Casa,1.9,Iluminação,Ruim
206,626.1,0,11,Casa,11.2,Eletrodomésticos,Bom
207,772.9,1,18,Comercial,1.0,Refrigeração,Mediano
208,503.9,1,21,Apartamento,9.5,Outros,Crítico
209,780.3,0,15,Comercial,6.8,Climatização,Bom
210,895.7,0,22,Comercial,5.1,Tecnologia,Bom
211,463.2,1,13,Apartamento,10.8,Iluminação,Crítico
212,694.2,0,10,Comercial,10.3,Refrigeração,Bom
213,808.8,1,22,Comercial,4.7,Climatização,Ruim
214,891.8,0,19,Comercial,10.9,Climatização,Bom
215,697.1,0,17,Comercial,7.6,Refrigeração,Bom
216,408.2,0,8,Casa,4.0,Refrigeração,Excelente
217,635.2,1,3,Comercial,3.8,Eletrodomésticos,Bom
218,296.4,0,5,Apartamento,4.8,Climatização,Excelente
219,776.9,0,12,Comercial,8.4,Outros,Bom
220,608.9,1,25,Casa,4.0,Eletrodomésticos,Crítico
221,303.2,0,12,Apartamento,3.4,Tecnologia,Bom
222,715.2,1,12,Comercial,0.3,Tecnologia,Mediano
223,617.6,1,8,Casa,12.0,Climatização,Crítico
224,509.9,1,25,Apartamento,1.5,Iluminação,Crítico
225,674.6,0,20,Casa,11.1,Eletrodomésticos,Mediano
226,552.4,0,22,Apartamento,3.3,Tecnologia,Mediano
227,688.1,1,8,Comercial,3.9,Refrigeração,Mediano
228,421.9,0,8,Casa,8.1,Serviços,Bom
229,467.6,1,19,Apartamento,6.1,Tecnologia,Crítico
230,876.5,1,19,Comercial,11.4,Climatização,Crítico
231,381.3,0,6,Apartamento,10.0,Eletrodomésticos,Bom
232,486.1,0,16,Casa,3.2,Outros,Bom
233,501.3,1,23,Apartamento,2.3,Outros,Crítico
234,746.2,1,6,Comercial,9.2,Refrigeração,Mediano
235,656.3,1,24,Casa,5.6,Iluminação,Crítico
236,685.3,1,18,Comercial,2.0,Climatização,Mediano
237,793.6,1,11,Comercial,3.8,Refrigeração,Mediano
238,500.6,0,1,Comercial,3.6,Climatização,Excelente
239,349.9,1,14,Apartamento,5.5,Outros,Ruim
240,478.1,1,11,Apartamento,9.8,Climatização,Crítico
241,477.3,1,10,Casa,3.0,Outros,Mediano
242,331.0,0,2,Casa,6.9,Climatização,Excelente
243,574.9,1,12,Apartamento,11.6,Serviços,Crítico
244,334.9,1,12,Apartamento,4.8,Climatização,Ruim
245,409.8,1,2,Casa,6.6,Outros,Mediano
246,625.0,1,22,Casa,7.6,Tecnologia,Crítico
247,870.3,1,16,Comercial,7.1,Refrigeração,Ruim
248,501.9,0,22,Apartamento,3.6,Outros,Mediano
249,664.7,1,22,Casa,2.6,Eletrodomésticos,Crítico
250,827.0,1,10,Comercial,9.4,Iluminação,Ruim
251,251.5,0,10,Apartamento,0.6,Eletrodomésticos,Excelente
252,359.2,0,4,Apartamento,10.2,Serviços,Bom
253,831.7,1,22,Comercial,4.1,Refrigeração,Ruim
254,569.8,1,21,Apartamento,4.7,Outros,Crítico
255,324.0,0,2,Apartamento,7.1,Outros,Excelente
256,554.4,1,23,Apartamento,3.2,Iluminação,Crítico
257,395.0,0,17,Apartamento,4.2,Serviços,Bom
258,333.3,1,4,Apartamento,11.1,Eletrodomésticos,Ruim
259,665.7,0,3,Comercial,10.8,Eletrodomésticos,Excelente
260,654.4,0,12,Comercial,0.0,Eletrodomésticos,Excelente
261,602.3,0,4,Comercial,3.9,Refrigeração,Excelente
262,575.1,0,1,Comercial,0.4,Eletrodomésticos,Excelente
263,814.2,0,22,Comercial,6.5,Eletrodomésticos,Bom
264,936.4,0,25,Comercial,9.9,Climatização,Mediano
265,414.0,1,7,Apartamento,2.9,Tecnologia,Ruim
266,675.2,0,3,Comercial,6.5,Eletrodomésticos,Excelente
267,363.7,0,4,Apartamento,9.1,Iluminação,Bom
268,563.7,1,17,Casa,2.9,Serviços,Ruim
269,843.6,1,10,Comercial,11.3,Iluminação,Ruim
270,373.7,1,17,Apartamento,3.3,Iluminação,Ruim
271,463.8,0,24,Apartamento,4.5,Refrigeração,Mediano
272,730.5,0,5,Comercial,9.3,Refrigeração,Excelente
273,820.9,1,17,Comercial,7.4,Iluminação,Ruim
274,622.7,1,23,Casa,2.4,Eletrodomésticos,Crítico
275,484.4,0,6,Casa,11.8,Eletrodomésticos,Bom
276,696.2,0,8,Comercial,6.8,Refrigeração,Excelente
277,724.3,1,10,Comercial,4.5,Iluminação,Mediano
278,202.2,0,2,Casa,1.1,Climatização,Excelente
279,590.3,1,4,Comercial,4.8,Serviços,Mediano
280,438.2,0,17,Apartamento,2.6,Eletrodomésticos,Bom
281,413.4,0,10,Casa,3.0,Tecnologia,Excelente
282,834.7,1,18,Comercial,5.0,Refrigeração,Ruim
283,706.6,1,12,Comercial,0.7,Refrigeração,Mediano
284,696.7,0,11,Comercial,2.9,Serviços,Excelente
285,289.4,0,10,Apartamento,1.9,Eletrodomésticos,Excelente
286,519.2,0,25,Apartamento,12.0,Climatização,Ruim
287,1014.0,1,25,Comercial,11.1,Refrigeração,Crítico
288,540.3,1,1,Comercial,1.4,Climatização,Bom
289,388.9,1,7,Apartamento,8.3,Climatização,Ruim
290,796.5,1,7,Comercial,7.9,Climatização,Mediano
291,551.8,0,21,Casa,9.6,Serviços,Mediano
292,662.8,1,21,Casa,11.9,Outros,Crítico
293,633.0,0,7,Comercial,5.5,Outros,Excelente
294,537.6,1,15,Apartamento,10.7,Climatização,Crítico
295,323.8,1,2,Apartamento,8.4,Iluminação,Ruim
296,482.3,0,14,Casa,4.6,Climatização,Bom
297,485.9,0,15,Apartamento,9.1,Outros,Mediano
298,503.1,1,7,Casa,7.0,Eletrodomésticos,Ruim
299,337.3,1,4,Casa,1.3,Iluminação,Bom
300,574.6,1,19,Apartamento,11.5,Serviços,Crítico
301,435.1,1,14,Apartamento,5.0,Climatização,Crítico
302,708.9,0,12,Comercial,1.0,Climatização,Excelente
303,568.9,1,12,Casa,9.1,Tecnologia,Ruim
304,875.9,1,13,Comercial,8.8,Tecnologia,Ruim
305,920.3,1,16,Comercial,11.7,Serviços,Crítico
306,451.8,0,17,Apartamento,5.4,Refrigeração,Mediano
307,386.1,0,23,Apartamento,3.1,Iluminação,Bom
308,402.3,1,2,Apartamento,5.1,Eletrodomésticos,Ruim
309,446.3,0,14,Apartamento,11.8,Serviços,Mediano
310,665.3,1,20,Casa,2.6,Refrigeração,Crítico
311,344.0,0,8,Casa,7.0,Tecnologia,Excelente
312,540.1,0,3,Comercial,1.1,Outros,Excelente
313,651.4,1,5,Comercial,3.5,Outros,Mediano
314,379.0,0,9,Casa,5.3,Outros,Excelente
315,709.4,0,7,Comercial,8.1,Refrigeração,Excelente
316,370.1,0,5,Apartamento,9.0,Iluminação,Bom
317,629.0,1,12,Comercial,1.4,Climatização,Mediano
318,626.5,1,24,Apartamento,9.1,Climatização,Crítico
319,823.2,0,15,Comercial,7.2,Climatização,Bom
320,485.3,1,12,Apartamento,3.5,Serviços,Crítico
321,331.1,0,3,Casa,2.8,Iluminação,Excelente
322,411.0,1,9,Apartamento,4.4,Serviços,Ruim
323,408.3,1,12,Casa,0.8,Refrigeração,Mediano
324,423.5,0,3,Casa,10.1,Climatização,Excelente
325,665.8,1,21,Casa,8.4,Outros,Crítico
326,594.8,0,4,Comercial,2.5,Climatização,Excelente
327,937.9,1,18,Comercial,7.3,Refrigeração,Ruim
328,639.6,0,23,Casa,9.9,Serviços,Mediano
329,721.6,0,24,Casa,11.2,Eletrodomésticos,Ruim
330,755.0,1,19,Comercial,1.0,Climatização,Ruim
331,261.2,1,1,Apartamento,1.6,Tecnologia,Bom
332,462.8,1,20,Apartamento,8.3,Serviços,Crítico
333,618.3,1,17,Casa,3.1,Tecnologia,Ruim
334,727.6,1,8,Comercial,9.6,Refrigeração,Ruim
335,501.2,0,12,Apartamento,11.7,Iluminação,Mediano
336,412.4,0,8,Casa,4.0,Eletrodomésticos,Excelente
337,409.0,1,16,Apartamento,5.2,Climatização,Crítico
338,725.4,0,17,Comercial,2.0,Refrigeração,Excelente
339,376.6,0,15,Apartamento,3.1,Eletrodomésticos,Bom
340,662.6,0,1,Comercial,7.0,Tecnologia,Excelente
341,409.6,1,11,Apartamento,7.4,Climatização,Crítico
342,706.6,1,22,Casa,10.5,Tecnologia,Crítico
343,708.0,0,23,Casa,8.9,Refrigeração,Mediano
344,824.6,1,17,Comercial,5.0,Climatização,Ruim
345,353.3,1,7,Casa,1.5,Climatização,Mediano
346,775.9,1,11,Comercial,7.9,Refrigeração,Ruim
347,395.4,1,5,Casa,1.4,Tecnologia,Mediano
348,781.5,0,19,Comercial,4.6,Serviços,Bom
349,450.9,0,21,Apartamento,4.7,Iluminação,Mediano
350,469.9,1,14,Apartamento,7.3,Tecnologia,Crítico
351,369.9,1,16,Apartamento,2.1,Serviços,Ruim
352,410.1,0,14,Apartamento,4.5,Outros,Bom
353,613.1,1,24,Casa,2.1,Tecnologia,Crítico
354,462.3,0,20,Apartamento,6.9,Iluminação,Mediano
355,733.4,1,24,Casa,7.8,Eletrodomésticos,Crítico
356,365.3,1,1,Apartamento,9.0,Iluminação,Ruim
357,696.0,1,18,Casa,7.1,Serviços,Crítico
358,496.4,0,18,Casa,1.0,Tecnologia,Bom
359,241.0,0,5,Apartamento,6.7,Tecnologia,Excelente
360,134.9,0,1,Apartamento,0.7,Eletrodomésticos,Excelente
361,143.7,0,1,Apartamento,0.7,Tecnologia,Excelente
362,942.6,0,24,Comercial,6.1,Serviços,Bom
363,451.1,1,2,Apartamento,11.8,Refrigeração,Crítico
364,282.8,1,7,Apartamento,2.9,Climatização,Mediano
365,711.2,1,20,Casa,7.8,Climatização,Crítico
366,850.4,1,24,Comercial,4.6,Refrigeração,Ruim
367,659.3,1,16,Casa,9.4,Outros,Crítico
368,377.3,0,17,Apartamento,7.4,Climatização,Bom
369,722.0,0,13,Comercial,5.2,Refrigeração,Excelente
370,652.0,1,15,Casa,10.3,Tecnologia,Crítico
371,421.9,1,13,Apartamento,3.3,Tecnologia,Ruim
372,537.4,1,18,Apartamento,4.0,Outros,Crítico
373,638.2,0,7,Comercial,3.0,Refrigeração,Excelente
374,270.2,0,2,Casa,4.0,Outros,Excelente
375,301.0,1,9,Apartamento,0.9,Tecnologia,Mediano
376,666.7,0,24,Casa,5.5,Outros,Mediano
377,573.8,1,23,Apartamento,10.4,Tecnologia,Crítico
378,717.9,0,6,Comercial,6.8,Refrigeração,Excelente
379,224.5,0,4,Apartamento,5.5,Outros,Excelente
380,420.4,0,13,Apartamento,6.5,Eletrodomésticos,Bom
381,381.4,1,1,Casa,3.1,Serviços,Bom
382,622.6,1,3,Comercial,1.6,Refrigeração,Bom
383,822.1,1,23,Comercial,4.9,Refrigeração,Ruim
384,521.8,0,12,Casa,7.7,Iluminação,Bom
385,449.7,1,7,Apartamento,11.3,Tecnologia,Crítico
386,779.1,0,6,Comercial,11.1,Refrigeração,Bom
387,413.0,0,8,Apartamento,8.4,Refrigeração,Bom
388,433.9,0,10,Apartamento,8.6,Iluminação,Bom
389,766.7,1,8,Comercial,7.5,Climatização,Mediano
390,783.6,0,16,Comercial,7.9,Refrigeração,Bom
391,371.4,1,16,Apartamento,2.1,Outros,Ruim
392,226.5,1,3,Apartamento,2.2,Serviços,Bom
393,673.1,0,8,Comercial,5.3,Climatização,Excelente
394,814.7,0,18,Comercial,3.2,Serviços,Bom
395,745.2,0,18,Comercial,0.9,Climatização,Excelente
396,451.6,1,8,Casa,1.3,Refrigeração,Mediano
397,795.6,1,16,Comercial,9.2,Refrigeração,Ruim
398,470.6,1,3,Casa,10.3,Climatização,Ruim
399,474.4,1,22,Apartamento,1.1,Iluminação,Crítico
400,243.8,0,2,Casa,0.4,Iluminação,Excelente
401,730.7,0,10,Comercial,6.2,Serviços,Excelente
402,860.5,0,21,Comercial,10.3,Climatização,Mediano
403,266.2,1,2,Apartamento,3.1,Outros,Mediano
404,626.0,0,21,Casa,10.5,Climatização,Mediano
405,682.0,0,16,Comercial,3.4,Serviços,Excelente
406,900.6,1,15,Comercial,10.5,Tecnologia,Ruim
407,816.9,0,19,Comercial,8.2,Refrigeração,Bom
408,303.1,1,2,Apartamento,5.6,Eletrodomésticos,Mediano
409,340.2,1,5,Apartamento,3.4,Refrigeração,Mediano
410,378.4,0,2,Casa,3.4,Tecnologia,Excelente
411,772.9,1,20,Comercial,5.3,Refrigeração,Ruim
412,270.5,1,14,Apartamento,1.5,Climatização,Mediano
413,785.6,0,23,Comercial,9.9,Serviços,Mediano
414,350.1,0,16,Apartamento,3.7,Outros,Bom
415,429.1,1,25,Apartamento,0.5,Iluminação,Crítico
416,904.1,0,19,Comercial,11.6,Refrigeração,Mediano
417,782.1,1,18,Comercial,6.3,Refrigeração,Ruim
418,639.7,0,8,Comercial,7.7,Tecnologia,Excelente
419,291.7,0,4,Apartamento,1.4,Outros,Excelente
420,443.1,1,10,Apartamento,4.8,Eletrodomésticos,Ruim
421,374.6,1,10,Apartamento,4.6,Eletrodomésticos,Ruim
422,566.2,1,20,Apartamento,11.5,Eletrodomésticos,Crítico
423,566.9,1,21,Casa,3.3,Tecnologia,Ruim
424,689.3,1,25,Apartamento,10.0,Tecnologia,Crítico
425,603.8,1,24,Apartamento,11.2,Iluminação,Crítico
426,781.8,0,17,Comercial,1.3,Climatização,Excelente
427,511.5,1,18,Apartamento,11.6,Outros,Crítico
428,257.0,0,3,Apartamento,2.9,Refrigeração,Excelente
429,342.4,1,8,Apartamento,3.3,Refrigeração,Ruim
430,299.4,0,11,Apartamento,2.7,Serviços,Excelente
431,424.5,1,9,Apartamento,8.1,Climatização,Crítico
432,462.0,0,24,Apartamento,1.2,Eletrodomésticos,Mediano
433,463.7,1,15,Casa,0.8,Serviços,Mediano
434,815.1,1,16,Comercial,10.5,Climatização,Ruim
435,526.0,0,19,Apartamento,10.6,Serviços,Ruim
436,591.7,1,18,Apartamento,9.5,Outros,Crítico
437,830.5,1,12,Comercial,7.2,Refrigeração,Ruim
438,617.4,1,15,Casa,8.7,Serviços,Crítico
439,642.7,0,2,Comercial,8.3,Refrigeração,Excelente
440,265.9,1,4,Apartamento,0.7,Eletrodomésticos,Mediano
441,468.4,0,15,Casa,3.6,Iluminação,Bom
442,778.5,1,23,Comercial,0.6,Outros,Ruim
443,587.9,0,24,Casa,7.3,Refrigeração,Mediano
444,454.9,0,11,Casa,5.9,Outros,Bom
445,703.4,0,16,Comercial,2.7,Refrigeração,Excelente
446,584.5,0,22,Casa,0.9,Refrigeração,Bom
447,492.8,0,10,Casa,5.1,Tecnologia,Bom
448,861.6,1,19,Comercial,8.1,Refrigeração,Ruim
449,423.6,0,3,Casa,9.9,Outros,Excelente
450,691.3,1,18,Casa,8.4,Iluminação,Crítico
451,744.1,0,25,Casa,11.3,Serviços,Ruim
452,356.4,0,7,Apartamento,11.9,Iluminação,Bom
453,315.7,1,2,Apartamento,3.4,Iluminação,Mediano
454,681.2,1,7,Comercial,6.8,Refrigeração,Mediano
455,809.7,1,13,Comercial,9.5,Tecnologia,Ruim
456,515.9,1,23,Casa,2.7,Climatização,Ruim
457,436.3,0,19,Apartamento,6.6,Refrigeração,Mediano
458,836.0,0,23,Comercial,6.3,Serviços,Bom
459,367.4,1,14,Apartamento,1.8,Serviços,Ruim
460,545.6,0,9,Casa,11.5,Climatização,Bom
461,811.0,0,13,Comercial,11.5,Climatização,Bom
