ENTREVISTA,REGIAO,UF,MUNICIPIO,qtd_geladeira,qtd_ar_condicionado,qtd_ventilador,qtd_lampadas,qtd_microondas,qtd_air_fryer,qtd_lavar_secar,qtd_computadores,qtd_videogame,qtd_tv,qtd_chuveiro_eletrico,kwh_geladeira,kwh_ar_condicionado,kwh_ventilador,kwh_iluminacao,kwh_microondas,kwh_air_fryer,kwh_lavar_secar,kwh_computadores,kwh_videogame,kwh_tv,kwh_chuveiro_eletrico,kwh_categoria_iluminacao,kwh_categoria_refrigeracao,kwh_categoria_climatizacao,kwh_categoria_eletrodomesticos,kwh_categoria_tecnologia,consumo_real_medio_kwh_mes,fonte_energia,fonte_propria_energia,habito_compra_consciente,habito_desliga_tv_sem_uso,habito_evita_standby,habito_ac_portas_fechadas,habito_ac_desliga_ausencia,habito_evita_banho_longo,habito_chuveiro_posicao_verao,habito_geladeira_porta_fechada,habito_geladeira_alimentos_frios,habito_geladeira_termostato,habito_geladeira_nao_seca_roupa,habito_geladeira_borracha_vedacao,habito_lava_roupa_carga_maxima,habito_prefere_lampada_led,habito_evita_luz_dia,habito_apaga_luz_ambiente_vazio
52666,Norte,RR,Boa Vista,1.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,45.0,169.19999999999996,0.0,5.1,0.0,0.0,0.0,0.0,0.75,54.144,0.0,5.1,45.0,169.19999999999996,0.0,54.894,315.75,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Normalmente,Normalmente,Sempre,Sempre,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre
52669,Norte,RR,Boa Vista,1.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,0.0,0.0,16.68,0.0,0.0,0.0,0.0,0.0,3.384,0.0,16.68,45.0,0.0,0.0,3.384,57.833333333333336,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Normalmente,Normalmente,Normalmente,Normalmente,,,Normalmente,Sempre,Nunca,Sempre,Raramente,Nunca,Sempre,Sempre,Sempre
52670,Norte,RR,Boa Vista,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,45.0,0.0,35.532000000000004,1.41,0.0,0.0,0.0,0.0,0.0,37.224,0.0,1.41,45.0,35.532000000000004,0.0,37.224,,Gerada no próprio domicílio,Não sabe/não responde,Sempre,Sempre,Sempre,Sempre,Sempre,,,Normalmente,Sempre,Normalmente,Nunca,Normalmente,Raramente,Sempre,Sempre,Sempre
52672,Norte,RR,Boa Vista,1.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,45.0,0.0,35.532000000000004,6.749999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.749999999999999,45.0,35.532000000000004,0.0,0.0,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Nunca,Sempre,Raramente,Sempre,Sempre,,,Sempre,Normalmente,Nunca,Sempre,Sempre,Sempre,Sempre,Sempre,Normalmente
52673,Norte,RR,Boa Vista,1.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,45.0,0.0,106.596,5.9399999999999995,0.0,0.0,0.0,0.0205,0.0,3.384,0.0,5.9399999999999995,45.0,106.596,0.0,3.4045,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre
52674,Norte,RR,Boa Vista,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,135.0,0.0,106.596,3.0599999999999996,0.0,0.0,0.0,0.0,0.0,10.152,0.0,3.0599999999999996,135.0,106.596,0.0,10.152,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre
52675,Norte,RR,Boa Vista,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,0.0,5.418000000000001,4.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.800000000000001,45.0,5.418000000000001,0.0,0.0,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Raramente,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre
52676,Norte,RR,Boa Vista,1.0,0.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,45.0,0.0,142.12800000000001,4.56,0.0,0.0,0.0,0.0,0.0,6.768,0.0,4.56,45.0,142.12800000000001,0.0,6.768,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Raramente,Sempre,Sempre,Sempre,Sempre,Sempre
52682,Nordeste,CE,Fortaleza,1.0,0.0,2.0,5.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,45.0,0.0,35.532000000000004,7.2749999999999995,0.0,0.0,0.0,0.0,0.0,37.224,0.0,7.2749999999999995,45.0,35.532000000000004,0.0,37.224,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Raramente,Sempre,Normalmente,,,,,Sempre,Sempre,Sempre,Raramente,Raramente,Normalmente,Normalmente,Sempre,Raramente
52683,Nordeste,CE,Fortaleza,1.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,45.0,0.0,35.532000000000004,9.075,0.0,0.0,0.0,0.19565,0.0,87.984,0.0,9.075,45.0,35.532000000000004,0.0,88.17965,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Normalmente,,,,,Sempre,Sempre,Raramente,Sempre,Sempre,Nunca,Normalmente,Sempre,Sempre
52684,Nordeste,CE,Fortaleza,2.0,1.0,2.0,14.0,1.0,0.0,1.0,2.0,1.0,4.0,3.0,90.0,150.29999999999998,11.844000000000001,26.34,5.64,0.0,0.0,8.493333333333332,4.904999999999999,175.968,0.0,26.34,90.0,162.14399999999998,5.64,189.36633333333333,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Nunca,Sempre,Sempre,,,Sempre,Sempre,Normalmente,Sempre,Sempre,Raramente,Sempre,Sempre,Sempre
52685,Norte,RR,Boa Vista,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,0.0,0.0,31.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.11,45.0,0.0,0.0,0.0,261.0,Rede geral de distribuição (Concessionária de Energia Elétrica),,Nunca,Sempre,Sempre,,,,,Nunca,Nunca,Nunca,Nunca,Sempre,Sempre,Sempre,Normalmente,Sempre
52687,Norte,RR,Boa Vista,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,45.0,0.0,0.0,30.9,0.0,0.0,0.0,0.0,0.0,27.072,0.0,30.9,45.0,0.0,0.0,27.072,195.0,Rede geral de distribuição (Concessionária de Energia Elétrica),,Raramente,Sempre,Raramente,Sempre,Sempre,,,Normalmente,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Sempre,Sempre
52689,Nordeste,CE,Fortaleza,1.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,45.0,0.0,71.06400000000001,9.600000000000001,0.0,0.0,0.0,0.0,0.0,27.072,0.0,9.600000000000001,45.0,71.06400000000001,0.0,27.072,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Raramente,,,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre
52690,Nordeste,CE,Fortaleza,1.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,45.0,0.0,17.766000000000002,15.674999999999999,0.8599999999999999,0.0,0.0,0.0,0.0,54.144,0.0,15.674999999999999,45.0,17.766000000000002,0.8599999999999999,54.144,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Raramente,,,,,Sempre,Sempre,Raramente,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre
52692,Nordeste,CE,Fortaleza,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,0.0,0.21000000000000002,10.410000000000002,0.19999999999999998,0.0,0.0,0.0,0.0,27.072,0.0,10.410000000000002,45.0,0.21000000000000002,0.19999999999999998,27.072,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Raramente,,,,,Sempre,Sempre,Raramente,Sempre,Sempre,Nunca,Sempre,Sempre,Sempre
52693,Nordeste,CE,Fortaleza,1.0,0.0,2.0,7.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,45.0,0.0,71.06400000000001,8.700000000000001,11.562,0.0,0.0,0.49595,0.0,40.608,0.0,8.700000000000001,45.0,71.06400000000001,11.562,41.10395,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Normalmente,,,,,Sempre,Sempre,Nunca,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre
52694,Nordeste,CE,Fortaleza,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,0.0,35.532000000000004,5.055,0.0,0.0,0.0,0.0,0.0,16.919999999999998,0.0,5.055,45.0,35.532000000000004,0.0,16.919999999999998,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Normalmente,,,,,Sempre,Sempre,Raramente,Sempre,Sempre,Nunca,Sempre,Sempre,Sempre
52696,Norte,RR,Boa Vista,1.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,45.0,0.0,9.870000000000001,6.749999999999998,0.0,0.0,0.0,101.52,0.0,20.304,0.0,6.749999999999998,45.0,9.870000000000001,0.0,121.824,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,Sempre,Sempre,,,Sempre,Sempre,Nunca,Nunca,Nunca,Nunca,Raramente,Sempre,Sempre
52697,Norte,RR,Boa Vista,1.0,3.0,1.0,18.0,1.0,0.0,1.0,3.0,0.0,2.0,2.0,45.0,0.0,5.922000000000001,14.759999999999998,0.19999999999999998,0.0,0.0,10.185333333333332,0.0,0.0,0.0,14.759999999999998,45.0,5.922000000000001,0.19999999999999998,10.185333333333332,1000.8333333333334,Rede geral de distribuição (Concessionária de Energia Elétrica),,Normalmente,Sempre,Normalmente,Sempre,Sempre,,,Sempre,Sempre,Nunca,Nunca,Sempre,Sempre,Sempre,Sempre,Sempre
52699,Norte,RR,Boa Vista,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,0.0,9.870000000000001,1.08,0.0,0.0,0.0,0.0,0.0,3.384,0.0,1.08,45.0,9.870000000000001,0.0,3.384,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Sempre,Sempre,Nunca,Sempre,Sempre,Sempre
52700,Norte,RR,Boa Vista,1.0,2.0,1.0,12.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,45.0,0.0,9.870000000000001,8.7,0.19999999999999998,0.0,0.0,1.1562000000000001,0.0,0.0,0.0,8.7,45.0,9.870000000000001,0.19999999999999998,1.1562000000000001,670.0,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Raramente,Sempre,Raramente,Sempre,Sempre,Sempre,Sempre,Nunca,Nunca,Sempre,Sempre,Sempre,Sempre,Sempre
52701,Norte,RR,Boa Vista,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,45.0,157.57500000000002,0.04783333333333334,11.4,0.19999999999999998,0.0,0.0,0.041,0.0,0.0,0.0,11.4,45.0,157.62283333333335,0.19999999999999998,0.041,389.9166666666667,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Raramente,Sempre,Raramente,,,Sempre,Sempre,Sempre,Nunca,Sempre,Sempre,Sempre,Sempre,Sempre
52702,Norte,RR,Boa Vista,1.0,0.0,3.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,45.0,0.0,53.298,4.5,0.39999999999999997,0.0,0.0,0.18,0.0,7.056,0.0,4.5,45.0,53.298,0.39999999999999997,7.236,178.0,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Raramente,Raramente,Raramente,Sempre,Sempre,Sempre,Sempre
52703,Norte,RR,Boa Vista,1.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,45.0,0.0,0.0,2.88,0.0,0.0,0.0,0.0,0.0,37.224,0.0,2.88,45.0,0.0,0.0,37.224,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Raramente,Sempre,Normalmente,Nunca,Normalmente,Normalmente,Sempre
52705,Norte,RR,Boa Vista,1.0,0.0,5.0,7.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,45.0,0.0,88.83000000000001,25.650000000000002,0.0,0.0,0.0,0.0,0.0,54.144,0.0,25.650000000000002,45.0,88.83000000000001,0.0,54.144,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Normalmente,Sempre,,,,,Nunca,Raramente,Sempre,Raramente,Sempre,Sempre,Sempre,Normalmente,Sempre
52706,Norte,RR,Boa Vista,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,0.0,17.766000000000002,5.3999999999999995,0.0,0.0,0.0,0.0,0.0,10.152,0.0,5.3999999999999995,45.0,17.766000000000002,0.0,10.152,156.0,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Raramente,Nunca,Nunca,Nunca,Sempre,Sempre,Sempre
52708,Norte,RR,Boa Vista,1.0,2.0,1.0,4.0,1.0,0.0,1.0,3.0,1.0,1.0,2.0,45.0,0.0,5.922000000000001,7.199999999999999,2.1799999999999997,0.0,0.0,84.60000000000001,6.344999999999999,0.0,0.0,7.199999999999999,45.0,5.922000000000001,2.1799999999999997,90.94500000000001,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Nunca,Nunca,Sempre,Sempre,,,Sempre,Sempre,Nunca,Nunca,Sempre,Raramente,Sempre,Sempre,Sempre
52710,Norte,RR,Boa Vista,2.0,0.0,4.0,11.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,90.0,0.0,39.480000000000004,24.75,0.0,0.0,0.0,0.0,1.2398749999999998,0.0,0.0,24.75,90.0,39.480000000000004,0.0,1.2398749999999998,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Nunca,Nunca,,,,,Sempre,Sempre,Sempre,Nunca,Sempre,Normalmente,Normalmente,Sempre,Sempre
52711,Norte,RR,Boa Vista,2.0,1.0,3.0,7.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,90.0,0.0,8.883000000000001,13.05,0.0,0.0,3.3063333333333333,0.0,0.22499999999999998,0.0,0.0,13.05,90.0,8.883000000000001,3.3063333333333333,0.22499999999999998,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Normalmente,Nunca,Raramente,Raramente,,,Raramente,Raramente,Raramente,Raramente,Normalmente,Normalmente,Sempre,Sempre,Sempre
52712,Norte,RR,Boa Vista,1.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,45.0,0.0,53.298,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,45.0,53.298,0.0,0.0,341.0,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Raramente,Raramente,Normalmente,Nunca,Normalmente,Nunca,Sempre,Sempre,Sempre
52714,Norte,RR,Boa Vista,2.0,0.0,4.0,8.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,90.0,0.0,71.06400000000001,17.205,0.0,0.0,0.0,0.30000000000000004,0.0,56.448,0.0,17.205,90.0,71.06400000000001,0.0,56.748,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Normalmente,Raramente,Sempre,Sempre,Sempre,Normalmente,Sempre
52715,Norte,RR,Boa Vista,1.0,0.0,1.0,7.0,1.0,0.0,1.0,3.0,0.0,1.0,1.0,45.0,0.0,1.1445,16.665,0.19999999999999998,0.0,0.0,0.0,0.0,1.5479999999999998,0.0,16.665,45.0,1.1445,0.19999999999999998,1.5479999999999998,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Raramente,Normalmente,,,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Normalmente,Sempre,Sempre
52716,Norte,RR,Boa Vista,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,0.0,35.532000000000004,5.4,0.0,0.0,0.0,0.0,0.0,27.072,0.0,5.4,45.0,35.532000000000004,0.0,27.072,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Normalmente,Raramente,Sempre,Sempre,Sempre,Sempre,Sempre
52717,Norte,RR,Boa Vista,1.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,45.0,0.0,71.06400000000001,7.199999999999999,0.19999999999999998,0.0,0.0,0.0,0.0,2.5799999999999996,0.0,7.199999999999999,45.0,71.06400000000001,0.19999999999999998,2.5799999999999996,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Normalmente,Sempre,Nunca,Sempre,Sempre,Sempre
52718,Norte,RR,Boa Vista,1.0,2.0,2.0,8.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,45.0,345.44999999999993,11.844000000000001,7.889999999999999,0.0,0.0,0.0,19.62,0.0,0.0,0.0,7.889999999999999,45.0,357.2939999999999,0.0,19.62,395.8333333333333,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Normalmente,Nunca,Raramente,,,Sempre,Sempre,Normalmente,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre
52719,Norte,RR,Boa Vista,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,45.0,0.0,35.532000000000004,4.515000000000001,0.0,0.0,0.0,0.0,8.175,108.288,0.0,4.515000000000001,45.0,35.532000000000004,0.0,116.463,,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,,,,,Sempre,Raramente,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre
52720,Norte,RR,Boa Vista,1.0,1.0,0.0,10.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,45.0,0.0,0.0,27.9,0.8599999999999999,0.0,0.0,0.09,0.0,23.688,0.0,27.9,45.0,0.0,0.8599999999999999,23.778,307.3333333333333,Rede geral de distribuição (Concessionária de Energia Elétrica),,Sempre,Sempre,Sempre,Sempre,Sempre,,,Sempre,Sempre,Nunca,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre
