id_cliente,consumo_kwh,uso_horario_pico,quantidade_equipamentos,tipo_imovel,horas_alto_consumo,categoria_maior_consumo
139,676.9,False,10,Comercial,5.1,Serviços
140,317.2,False,1,Casa,6.7,Serviços
141,479.0,False,12,Apartamento,7.9,Refrigeração
142,506.3,False,19,Apartamento,6.2,Climatização
143,699.8,False,10,Comercial,8.5,Refrigeração
144,436.2,True,1,Casa,10.8,Outros
145,969.0,True,23,Comercial,11.5,Serviços
146,417.6,True,15,Apartamento,2.8,Refrigeração
147,242.1,False,8,Apartamento,2.8,Refrigeração
148,810.6,False,17,Comercial,10.4,Outros
149,669.5,True,5,Comercial,2.6,Refrigeração
150,681.0,True,25,Casa,5.0,Refrigeração
151,304.2,True,7,Apartamento,3.7,Outros
152,681.0,True,22,Casa,10.2,Tecnologia
153,762.6,False,24,Casa,9.8,Iluminação
154,806.6,False,8,Comercial,10.9,Climatização
155,725.8,True,17,Casa,11.7,Iluminação
156,653.0,False,7,Comercial,2.5,Climatização
157,643.5,False,17,Casa,9.4,Eletrodomésticos
158,432.4,False,5,Casa,11.8,Refrigeração
159,408.8,True,2,Casa,3.2,Outros
160,351.7,False,8,Casa,4.5,Iluminação
161,543.7,True,23,Apartamento,3.3,Refrigeração
162,789.6,True,6,Comercial,11.4,Refrigeração
163,515.2,False,23,Casa,1.0,Outros
164,697.6,False,6,Comercial,8.8,Climatização
165,781.3,False,22,Comercial,3.1,Serviços
166,599.9,True,22,Apartamento,9.5,Tecnologia
167,833.5,False,22,Comercial,6.3,Climatização
168,637.3,False,10,Comercial,2.3,Refrigeração
169,521.1,True,18,Apartamento,7.5,Iluminação
170,746.3,False,11,Comercial,6.9,Eletrodomésticos
171,669.8,True,5,Comercial,6.3,Climatização
172,507.9,True,12,Casa,8.6,Eletrodomésticos
173,492.4,True,11,Apartamento,9.5,Climatização
174,512.4,True,24,Apartamento,8.3,Iluminação
175,492.7,False,20,Apartamento,2.0,Eletrodomésticos
176,479.6,True,5,Casa,4.1,Climatização
177,352.6,False,7,Apartamento,5.5,Eletrodomésticos
178,482.7,True,16,Apartamento,7.4,Tecnologia
179,262.9,False,10,Apartamento,2.8,Serviços
180,752.4,True,20,Casa,9.1,Tecnologia
181,582.4,False,19,Casa,5.1,Eletrodomésticos
182,660.8,True,23,Apartamento,6.8,Refrigeração
183,375.9,False,2,Casa,5.3,Refrigeração
184,811.3,False,14,Comercial,7.1,Refrigeração
185,656.4,False,4,Comercial,4.7,Climatização
186,343.7,False,11,Apartamento,4.1,Eletrodomésticos
187,643.4,False,20,Casa,4.2,Outros
188,402.4,False,3,Casa,4.7,Iluminação
189,572.8,False,2,Comercial,4.8,Climatização
190,423.5,True,5,Casa,2.6,Tecnologia
191,682.1,True,2,Comercial,5.9,Climatização
192,618.3,False,4,Comercial,6.7,Climatização
193,342.7,True,6,Apartamento,6.4,Eletrodomésticos
194,655.6,True,4,Comercial,6.8,Eletrodomésticos
195,740.0,True,20,Casa,10.6,Outros
196,943.5,True,25,Comercial,8.2,Climatização
197,413.8,True,15,Apartamento,4.4,Eletrodomésticos
198,697.5,False,14,Comercial,3.4,Eletrodomésticos
199,421.9,False,20,Apartamento,0.5,Tecnologia
200,674.1,True,22,Casa,11.3,Tecnologia
201,702.2,True,16,Comercial,3.1,Refrigeração
202,412.2,False,11,Casa,3.3,Eletrodomésticos
203,808.1,False,19,Comercial,1.8,Climatização
204,668.0,False,9,Comercial,7.2,Climatização
205,442.7,False,9,Casa,4.8,Outros
206,294.8,True,5,Apartamento,4.7,Eletrodomésticos
207,450.4,True,15,Apartamento,3.3,Serviços
208,556.8,False,23,Casa,2.5,Iluminação
209,391.3,False,10,Apartamento,8.3,Iluminação
210,632.7,True,5,Comercial,3.2,Refrigeração
211,329.8,True,10,Apartamento,2.7,Refrigeração
212,625.2,False,20,Casa,10.0,Tecnologia
213,485.0,True,12,Apartamento,6.8,Climatização
214,330.4,False,14,Apartamento,1.5,Climatização
215,732.9,True,8,Comercial,4.5,Iluminação
216,640.5,True,18,Casa,7.7,Outros
217,573.0,True,24,Apartamento,1.8,Outros
218,812.7,False,17,Comercial,7.7,Climatização
219,183.3,False,3,Apartamento,2.7,Tecnologia
220,774.0,False,16,Comercial,7.1,Outros
221,687.1,True,25,Casa,2.9,Serviços
222,585.5,True,3,Comercial,2.4,Iluminação
223,637.4,False,2,Comercial,6.9,Climatização
224,462.3,True,13,Casa,1.3,Eletrodomésticos
225,733.2,True,22,Casa,10.2,Eletrodomésticos
226,688.9,False,24,Apartamento,10.6,Climatização
227,811.3,True,21,Comercial,8.7,Climatização
228,500.2,True,9,Casa,4.6,Eletrodomésticos
229,456.7,True,9,Apartamento,8.6,Outros
230,160.8,False,1,Apartamento,2.6,Outros
231,466.0,True,11,Apartamento,8.7,Outros
232,507.9,True,12,Casa,8.9,Tecnologia
233,560.0,True,22,Apartamento,11.2,Outros
234,872.4,True,12,Comercial,11.6,Climatização
235,560.8,True,13,Casa,9.8,Eletrodomésticos
236,502.4,False,24,Apartamento,10.0,Eletrodomésticos
237,659.5,False,13,Comercial,2.6,Climatização
238,788.5,True,1,Comercial,10.9,Climatização
239,647.6,True,8,Comercial,1.1,Iluminação
240,776.9,False,13,Comercial,9.6,Iluminação
241,531.1,True,14,Casa,5.4,Climatização
242,392.2,True,6,Apartamento,8.6,Climatização
243,412.0,True,10,Apartamento,8.6,Iluminação
244,517.0,True,5,Casa,9.2,Outros
245,842.6,True,21,Comercial,3.2,Refrigeração
246,462.4,True,6,Casa,6.3,Outros
247,408.5,False,21,Apartamento,11.8,Tecnologia
248,840.1,False,13,Comercial,10.8,Eletrodomésticos
249,882.7,True,19,Comercial,10.8,Refrigeração
250,403.7,True,8,Apartamento,6.8,Iluminação
251,480.4,False,24,Apartamento,11.4,Tecnologia
252,594.8,False,2,Comercial,5.1,Refrigeração
253,347.5,False,11,Apartamento,3.8,Climatização
254,626.1,True,16,Casa,10.5,Climatização
255,769.8,True,13,Comercial,6.7,Refrigeração
256,594.5,False,25,Apartamento,7.5,Eletrodomésticos
257,569.9,True,18,Casa,5.1,Serviços
258,627.5,False,2,Comercial,6.0,Refrigeração
259,668.3,True,10,Casa,11.5,Iluminação
260,806.7,False,18,Comercial,0.6,Climatização
261,404.3,True,5,Casa,4.9,Serviços
262,530.2,False,22,Casa,5.0,Eletrodomésticos
263,434.1,False,2,Casa,10.6,Eletrodomésticos
264,344.8,False,2,Apartamento,11.3,Iluminação
265,367.6,True,12,Apartamento,2.4,Serviços
266,425.3,True,11,Casa,1.2,Outros
267,632.2,False,22,Casa,8.5,Eletrodomésticos
268,685.0,False,9,Comercial,2.3,Eletrodomésticos
269,495.1,False,22,Casa,0.0,Tecnologia
270,518.6,True,22,Casa,0.8,Outros
271,571.2,True,13,Apartamento,8.8,Tecnologia
272,665.3,True,21,Casa,7.1,Tecnologia
273,435.5,True,8,Casa,2.0,Eletrodomésticos
274,908.2,False,23,Comercial,3.3,Refrigeração
275,290.9,False,7,Apartamento,4.8,Iluminação
276,557.7,True,21,Apartamento,6.0,Eletrodomésticos
277,435.7,False,20,Apartamento,0.9,Iluminação
278,549.4,False,18,Apartamento,8.0,Climatização
279,526.6,True,9,Casa,7.3,Tecnologia
280,626.0,False,13,Casa,8.7,Outros
281,705.7,True,18,Casa,10.7,Climatização
282,536.9,False,20,Casa,0.3,Climatização
283,438.6,False,19,Apartamento,0.6,Refrigeração
284,633.2,True,3,Comercial,2.1,Serviços
285,646.8,True,25,Apartamento,10.0,Climatização
286,863.0,True,21,Comercial,9.8,Climatização
287,714.6,False,10,Comercial,7.9,Refrigeração
288,506.7,False,15,Apartamento,6.6,Eletrodomésticos
289,524.7,True,10,Apartamento,10.1,Climatização
290,885.6,True,12,Comercial,11.7,Refrigeração
291,521.2,False,19,Casa,0.4,Climatização
292,842.6,False,14,Comercial,9.9,Refrigeração
293,580.9,False,19,Casa,6.7,Eletrodomésticos
294,514.7,True,3,Casa,10.2,Climatização
295,359.8,True,17,Apartamento,0.2,Serviços
296,547.6,False,17,Casa,3.9,Iluminação
297,649.9,False,25,Casa,6.7,Serviços
298,215.4,True,1,Apartamento,0.1,Tecnologia
299,776.8,True,24,Comercial,2.9,Iluminação
300,467.2,False,24,Casa,0.1,Climatização
301,593.8,False,22,Casa,10.4,Climatização
302,811.2,True,8,Comercial,10.7,Tecnologia
303,686.5,True,20,Casa,5.8,Eletrodomésticos
304,393.0,False,17,Apartamento,0.8,Iluminação
305,260.9,False,2,Apartamento,8.0,Climatização
306,692.0,True,14,Comercial,1.1,Outros
307,317.1,False,9,Apartamento,6.3,Iluminação
308,792.5,False,21,Comercial,5.9,Refrigeração
309,500.9,True,16,Casa,2.7,Refrigeração
310,668.7,True,1,Comercial,6.8,Tecnologia
311,504.9,False,6,Comercial,1.8,Refrigeração
312,457.0,True,8,Casa,8.0,Eletrodomésticos
313,821.4,True,14,Comercial,7.0,Tecnologia
314,624.3,True,9,Casa,10.5,Eletrodomésticos
315,427.3,False,17,Apartamento,7.6,Climatização
316,420.7,True,13,Apartamento,2.7,Tecnologia
317,374.8,True,15,Apartamento,1.4,Refrigeração
318,536.8,False,17,Casa,3.6,Iluminação
319,477.8,True,12,Casa,2.2,Iluminação
320,486.6,False,25,Apartamento,5.8,Outros
321,653.1,True,10,Casa,9.1,Outros
322,482.3,False,1,Casa,10.9,Serviços
323,363.9,True,5,Apartamento,7.5,Tecnologia
324,769.3,True,15,Comercial,6.2,Climatização
325,439.4,True,17,Apartamento,2.9,Climatização
326,617.0,False,8,Comercial,2.7,Refrigeração
327,394.7,False,8,Casa,0.1,Tecnologia
328,747.6,False,23,Casa,10.5,Tecnologia
329,495.6,False,10,Casa,9.5,Iluminação
330,567.4,True,24,Apartamento,8.7,Refrigeração
331,414.5,True,13,Apartamento,5.4,Outros
332,275.6,False,4,Apartamento,7.7,Eletrodomésticos
333,591.6,True,21,Casa,5.0,Serviços
334,390.5,False,14,Casa,2.3,Outros
335,395.2,False,7,Apartamento,9.2,Refrigeração
336,830.7,True,11,Comercial,9.3,Climatização
337,603.4,True,22,Apartamento,11.4,Serviços
338,769.4,False,15,Comercial,6.6,Refrigeração
339,398.0,False,12,Apartamento,0.1,Iluminação
340,374.8,False,21,Apartamento,1.4,Tecnologia
341,1013.6,False,22,Comercial,10.4,Climatização
342,214.0,False,7,Apartamento,3.4,Eletrodomésticos
343,503.7,False,22,Apartamento,4.6,Eletrodomésticos
344,585.5,True,22,Apartamento,5.9,Eletrodomésticos
345,607.4,False,13,Casa,11.2,Eletrodomésticos
346,492.1,True,10,Casa,4.3,Outros
347,396.4,True,13,Apartamento,5.5,Iluminação
348,303.0,True,10,Apartamento,2.3,Outros
349,873.5,True,18,Comercial,9.0,Refrigeração
350,699.4,True,3,Comercial,5.6,Refrigeração
351,485.2,False,10,Casa,6.1,Serviços
352,922.0,True,17,Comercial,7.6,Refrigeração
353,689.1,True,3,Comercial,9.9,Climatização
354,534.6,True,25,Apartamento,7.2,Eletrodomésticos
355,470.0,False,13,Apartamento,8.8,Refrigeração
356,343.8,False,3,Casa,4.2,Tecnologia
357,745.6,True,11,Comercial,2.5,Eletrodomésticos
358,803.2,False,12,Comercial,10.6,Eletrodomésticos
359,410.1,False,19,Apartamento,0.6,Tecnologia
360,751.0,False,6,Comercial,11.3,Refrigeração
361,533.0,False,3,Comercial,0.6,Outros
362,584.3,True,22,Casa,0.6,Outros
363,427.4,False,16,Apartamento,7.1,Serviços
364,596.8,False,23,Casa,6.0,Refrigeração
365,392.8,False,9,Apartamento,9.0,Eletrodomésticos
366,832.8,True,17,Comercial,11.1,Climatização
367,278.3,False,1,Apartamento,4.6,Iluminação
368,612.8,True,24,Casa,5.5,Serviços
369,563.7,False,5,Comercial,0.4,Climatização
370,371.4,False,10,Apartamento,10.0,Iluminação
371,735.2,True,5,Comercial,4.9,Climatização
372,375.0,True,5,Apartamento,7.1,Iluminação
373,339.7,True,4,Casa,0.8,Tecnologia
374,859.6,False,16,Comercial,8.7,Refrigeração
375,586.8,True,7,Casa,11.5,Iluminação
376,312.9,False,11,Apartamento,0.7,Eletrodomésticos
377,676.1,True,8,Comercial,2.0,Refrigeração
378,478.7,True,10,Casa,5.6,Serviços
379,422.3,False,11,Casa,5.4,Climatização
380,947.5,True,21,Comercial,10.2,Eletrodomésticos
381,741.3,False,20,Casa,11.7,Outros
382,903.4,True,16,Comercial,9.8,Climatização
383,628.9,False,10,Comercial,2.7,Climatização
384,615.2,False,3,Comercial,3.2,Refrigeração
385,396.4,True,14,Apartamento,0.3,Refrigeração
386,687.2,True,2,Comercial,9.6,Refrigeração
387,820.4,False,20,Comercial,4.1,Climatização
388,475.1,False,23,Casa,2.7,Outros
389,515.6,True,17,Casa,9.4,Serviços
390,351.4,False,14,Apartamento,1.3,Serviços
391,680.2,True,1,Comercial,9.1,Eletrodomésticos
392,867.9,False,9,Comercial,11.7,Climatização
393,508.8,False,21,Apartamento,8.4,Tecnologia
394,740.3,True,16,Comercial,3.6,Serviços
395,515.9,False,18,Casa,3.0,Outros
396,477.1,True,19,Casa,1.2,Climatização
397,391.3,True,1,Casa,3.7,Tecnologia
398,636.0,True,3,Comercial,4.0,Serviços
399,911.8,True,9,Comercial,11.5,Refrigeração
400,735.3,False,10,Comercial,4.2,Eletrodomésticos
401,494.9,True,19,Apartamento,3.9,Eletrodomésticos
402,588.2,True,22,Apartamento,7.8,Refrigeração
403,943.0,True,22,Comercial,4.4,Climatização
404,644.3,False,3,Comercial,5.6,Eletrodomésticos
405,328.8,True,10,Apartamento,1.3,Eletrodomésticos
406,681.4,False,3,Comercial,7.6,Tecnologia
407,346.2,False,7,Apartamento,6.7,Tecnologia
408,729.9,True,25,Casa,9.1,Climatização
409,319.7,True,5,Apartamento,7.4,Climatização
410,614.6,False,7,Comercial,2.2,Outros
411,746.7,True,19,Casa,10.5,Serviços
412,467.9,True,12,Apartamento,7.8,Climatização
413,434.4,False,24,Apartamento,1.7,Climatização
414,343.7,True,2,Apartamento,6.6,Iluminação
415,542.7,True,21,Casa,1.6,Climatização
416,738.7,True,25,Casa,4.9,Climatização
417,404.9,True,6,Apartamento,8.8,Iluminação
418,310.5,False,15,Apartamento,4.2,Climatização
419,614.7,False,17,Casa,10.8,Iluminação
420,330.0,True,1,Casa,5.4,Refrigeração
421,619.1,False,5,Comercial,5.4,Iluminação
422,966.4,True,21,Comercial,10.1,Serviços
423,310.2,False,9,Apartamento,2.6,Serviços
424,367.6,False,1,Casa,4.0,Climatização
425,941.2,True,24,Comercial,11.4,Climatização
426,891.8,False,24,Comercial,7.6,Refrigeração
427,626.9,False,12,Comercial,3.0,Eletrodomésticos
428,292.9,True,9,Apartamento,2.3,Climatização
429,833.5,True,19,Comercial,7.5,Climatização
430,428.2,False,13,Casa,4.2,Outros
431,713.6,True,9,Comercial,5.6,Refrigeração
432,393.9,False,3,Casa,5.4,Iluminação
433,372.5,False,4,Casa,7.3,Serviços
434,922.5,True,17,Comercial,9.0,Refrigeração
435,530.3,True,15,Apartamento,9.1,Tecnologia
436,149.0,False,1,Apartamento,0.2,Iluminação
437,797.4,False,19,Comercial,6.3,Climatização
438,516.7,True,11,Casa,8.8,Tecnologia
439,560.3,True,15,Apartamento,11.4,Eletrodomésticos
440,617.3,True,19,Apartamento,5.2,Refrigeração
441,497.1,False,1,Comercial,3.0,Climatização
442,505.9,False,15,Apartamento,10.0,Climatização
443,443.4,False,19,Casa,0.7,Tecnologia
444,304.1,False,6,Apartamento,11.5,Outros
445,747.7,True,25,Casa,9.5,Serviços
446,307.8,True,5,Apartamento,4.2,Refrigeração
447,411.4,False,1,Casa,7.1,Tecnologia
448,419.0,False,11,Casa,3.7,Eletrodomésticos
449,437.8,True,6,Casa,8.7,Iluminação
450,391.3,False,12,Apartamento,11.6,Iluminação
451,439.9,True,12,Casa,0.2,Tecnologia
452,465.6,False,9,Casa,8.4,Eletrodomésticos
453,720.2,True,24,Casa,4.8,Serviços
454,870.0,True,16,Comercial,4.9,Climatização
455,949.2,False,24,Comercial,8.5,Iluminação
456,438.2,False,8,Casa,3.1,Eletrodomésticos
457,521.6,False,21,Apartamento,5.0,Climatização
458,772.7,True,14,Comercial,3.1,Refrigeração
459,934.1,True,24,Comercial,8.9,Refrigeração
460,741.2,True,11,Comercial,3.4,Refrigeração
461,666.0,False,24,Casa,8.5,Refrigeração
462,410.1,False,6,Casa,8.1,Serviços
463,674.6,True,13,Comercial,1.5,Climatização
464,583.5,True,21,Casa,2.0,Iluminação
465,475.6,True,22,Apartamento,7.1,Iluminação
466,859.1,True,19,Comercial,9.6,Climatização
467,782.0,False,17,Comercial,10.6,Refrigeração
468,553.1,True,20,Casa,4.0,Tecnologia
469,197.6,False,1,Apartamento,2.8,Serviços
470,195.1,False,4,Apartamento,0.2,Iluminação
471,387.7,True,4,Casa,3.6,Tecnologia
472,876.4,False,23,Comercial,7.9,Climatização
473,504.2,True,13,Casa,7.5,Outros
474,641.4,True,21,Casa,0.5,Refrigeração
475,786.2,False,17,Comercial,3.4,Climatização
476,432.6,True,16,Apartamento,5.0,Eletrodomésticos
477,463.3,True,8,Casa,1.6,Serviços
478,253.7,True,6,Apartamento,0.8,Climatização
479,361.1,True,5,Casa,0.9,Climatização
480,541.1,True,17,Apartamento,7.8,Climatização
481,458.8,True,20,Apartamento,1.4,Eletrodomésticos
482,660.5,False,21,Comercial,1.0,Iluminação
483,795.2,False,9,Comercial,7.0,Iluminação
484,626.0,False,19,Casa,9.0,Tecnologia
485,312.3,False,8,Apartamento,8.5,Refrigeração
486,763.6,True,13,Comercial,4.7,Climatização
487,474.7,False,25,Apartamento,7.1,Climatização
488,659.7,False,15,Casa,11.8,Climatização
489,708.6,False,24,Casa,3.3,Tecnologia
490,644.9,True,6,Comercial,5.8,Refrigeração
491,761.9,True,6,Comercial,11.9,Eletrodomésticos
492,507.4,False,21,Casa,5.3,Serviços
493,531.4,True,13,Casa,7.5,Climatização
494,348.1,False,6,Casa,0.4,Iluminação
495,678.8,True,4,Comercial,6.5,Refrigeração
496,816.1,False,10,Comercial,10.7,Outros
497,365.9,False,18,Apartamento,0.7,Climatização
498,723.7,True,12,Comercial,0.9,Refrigeração
499,744.6,False,13,Comercial,7.7,Outros
500,885.4,True,11,Comercial,12.0,Climatização
501,713.4,False,23,Casa,11.5,Tecnologia
502,327.4,False,12,Apartamento,1.8,Tecnologia
503,756.8,True,17,Comercial,0.5,Refrigeração
504,282.8,True,2,Apartamento,5.5,Iluminação
505,757.1,True,8,Comercial,9.9,Eletrodomésticos
506,423.5,False,12,Casa,1.5,Eletrodomésticos
507,559.4,True,14,Apartamento,10.2,Iluminação
508,303.4,False,21,Apartamento,0.3,Climatização
509,541.7,False,14,Casa,6.2,Eletrodomésticos
510,387.4,True,5,Casa,2.3,Climatização
511,470.6,False,15,Apartamento,7.4,Refrigeração
512,323.7,False,16,Apartamento,1.9,Climatização
513,623.2,False,22,Apartamento,11.9,Eletrodomésticos
514,779.4,True,17,Comercial,7.4,Climatização
515,602.0,True,14,Casa,11.4,Refrigeração
516,884.7,False,24,Comercial,2.6,Iluminação
517,414.1,True,17,Apartamento,0.4,Tecnologia
518,695.7,True,25,Apartamento,10.3,Eletrodomésticos
519,327.9,True,5,Casa,1.4,Refrigeração
520,732.3,False,6,Comercial,10.3,Refrigeração
521,770.2,True,23,Casa,10.9,Eletrodomésticos
522,828.4,True,14,Comercial,8.7,Climatização
523,825.0,True,24,Comercial,3.8,Climatização
524,291.9,True,11,Apartamento,4.4,Iluminação
525,765.2,False,18,Comercial,3.1,Refrigeração
526,643.3,True,19,Casa,10.1,Refrigeração
527,513.3,False,18,Casa,11.2,Refrigeração
528,764.7,True,17,Comercial,1.9,Tecnologia
529,562.6,True,22,Casa,0.6,Climatização
530,728.9,True,19,Casa,10.2,Tecnologia
531,337.4,False,3,Casa,5.4,Refrigeração
532,426.8,True,17,Apartamento,2.9,Outros
533,772.8,True,13,Comercial,4.2,Iluminação
534,724.4,True,13,Comercial,3.5,Climatização
535,388.2,False,13,Apartamento,3.9,Climatização
536,545.3,True,7,Casa,8.3,Serviços
537,341.4,True,13,Apartamento,0.3,Refrigeração
538,497.1,False,20,Casa,3.3,Serviços
539,686.2,False,13,Comercial,1.1,Tecnologia
540,652.9,True,7,Comercial,2.1,Climatização
541,575.4,True,3,Comercial,3.1,Eletrodomésticos
542,754.1,True,21,Comercial,1.2,Eletrodomésticos
543,217.4,False,2,Apartamento,1.5,Outros
544,539.4,True,24,Apartamento,8.5,Iluminação
545,983.8,False,24,Comercial,6.4,Iluminação
546,751.7,True,7,Comercial,8.0,Tecnologia
547,314.9,False,3,Casa,4.6,Outros
