ENTREVISTA,REGIAO,UF,MUNICIPIO,qtd_geladeira,qtd_ar_condicionado,qtd_ventilador,qtd_lampadas,qtd_microondas,qtd_air_fryer,qtd_lavar_secar,qtd_computadores,qtd_videogame,qtd_tv,qtd_chuveiro_eletrico,kwh_categoria_iluminacao,kwh_categoria_refrigeracao,kwh_categoria_climatizacao,kwh_categoria_eletrodomesticos,kwh_categoria_tecnologia,consumo_real_medio_kwh_mes,habito_compra_consciente,habito_desliga_tv_sem_uso,habito_evita_standby,habito_ac_portas_fechadas,habito_ac_desliga_ausencia,habito_evita_banho_longo,habito_chuveiro_posicao_verao,habito_geladeira_porta_fechada,habito_geladeira_alimentos_frios,habito_geladeira_termostato,habito_geladeira_nao_seca_roupa,habito_geladeira_borracha_vedacao,habito_lava_roupa_carga_maxima,habito_prefere_lampada_led,habito_evita_luz_dia,habito_apaga_luz_ambiente_vazio,produtos_maior_consumo,categoria_maior_consumo,qtd_freezer,kwh_freezer,qtd_frigobar,kwh_frigobar,qtd_bebedouro,kwh_bebedouro,qtd_ar_condicionado_split,kwh_ar_condicionado_split,qtd_aquecedor_eletrico,kwh_aquecedor_eletrico,qtd_computador_desktop,kwh_computador_desktop,qtd_notebook,kwh_notebook,qtd_roteador_wifi,kwh_roteador_wifi,qtd_maquina_lavar,kwh_maquina_lavar,qtd_secadora_roupas,kwh_secadora_roupas,qtd_cafeteira_eletrica,kwh_cafeteira_eletrica,qtd_ferro_passar,kwh_ferro_passar,qtd_aspirador_po,kwh_aspirador_po,qtd_liquidificador,kwh_liquidificador,qtd_batedeira,kwh_batedeira,qtd_bomba_dagua,kwh_bomba_dagua,qtd_portao_eletrico,kwh_portao_eletrico,qtd_motor_piscina,kwh_motor_piscina,qtd_forno_eletrico,kwh_forno_eletrico,qtd_fogao_eletrico,kwh_fogao_eletrico
52657,Norte,RR,Boa Vista,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.9,45.0,3.815,0.0,0.0,,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Geladeira|Lâmpada Incandescente|Ventilador,Refrigeração,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52658,Norte,RR,Boa Vista,1.0,1.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,16.919999999999998,45.0,6.860000000000001,0.82,0.0,,Sempre,Sempre,Sempre,Sempre,Sempre,,,Sempre,Sempre,Nunca,Nunca,Nunca,Nunca,Sempre,Sempre,Sempre,Geladeira|Lâmpada Incandescente|Ventilador,Refrigeração,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1,6.77,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.33
52659,Norte,RR,Boa Vista,1.0,0.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.06,45.0,98.78400000000002,0.0,6.768,,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Nunca,Sempre,Sempre,Raramente,Nunca,Sempre,Ventilador|Geladeira|Lâmpada Incandescente,Climatização,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.88,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52660,Norte,RR,Boa Vista,2.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,13.125,90.0,49.39200000000001,0.0,3.384,131.0,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Raramente,Raramente,Sempre,Sempre,Sempre,Normalmente,Sempre,Geladeira|Bebedouro|Ventilador,Refrigeração,0,0.0,0,0.0,1,60.91,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52661,Norte,RR,Boa Vista,1.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,12.119999999999996,45.0,27.440000000000005,0.0,0.0,,Sempre,Normalmente,Raramente,,,,,Normalmente,Raramente,Nunca,Nunca,Sempre,Nunca,Sempre,Sempre,Sempre,Geladeira|Ventilador|Lâmpada Incandescente,Refrigeração,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52663,Norte,RR,Boa Vista,1.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4.14,45.0,53.298,0.0,67.67999999999999,,Sempre,Sempre,Raramente,,,,,Sempre,Raramente,Raramente,Raramente,Nunca,Raramente,Sempre,Sempre,Sempre,TV|Ventilador|Geladeira,Tecnologia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.77,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52666,Norte,RR,Boa Vista,1.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,5.1,45.0,169.19999999999996,0.0,54.894,315.75,Sempre,Normalmente,Normalmente,Sempre,Sempre,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Ar-condicionado|Ar-condicionado Split|TV,Climatização,0,0.0,0,0.0,0,0.0,1,169.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.09,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52669,Norte,RR,Boa Vista,1.0,2.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,16.68,45.0,0.0,0.0,3.384,57.833333333333336,Sempre,Normalmente,Normalmente,Normalmente,Normalmente,,,Normalmente,Sempre,Nunca,Sempre,Raramente,Nunca,Sempre,Sempre,Sempre,Geladeira|Lâmpada Fluorescente|Lâmpada LED,Refrigeração,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52670,Norte,RR,Boa Vista,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.41,45.0,35.532000000000004,0.0,37.224,,Sempre,Sempre,Sempre,Sempre,Sempre,,,Normalmente,Sempre,Normalmente,Nunca,Normalmente,Raramente,Sempre,Sempre,Sempre,Geladeira|TV|Ventilador,Refrigeração,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,2.18,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52672,Norte,RR,Boa Vista,1.0,1.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.749999999999999,45.0,35.532000000000004,0.0,0.0,,Nunca,Sempre,Raramente,Sempre,Sempre,,,Sempre,Normalmente,Nunca,Sempre,Sempre,Sempre,Sempre,Sempre,Normalmente,Geladeira|Ventilador|Lâmpada Fluorescente,Refrigeração,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52673,Norte,RR,Boa Vista,1.0,0.0,3.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.94,45.0,106.596,0.0,3.4045,,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Ventilador|Geladeira|Lâmpada Fluorescente,Climatização,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.02,0,0.0,0,0.0,0,0.0,0,0.0,1,0.4,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52674,Norte,RR,Boa Vista,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.06,135.0,106.596,0.0,10.152,,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Geladeira|Ventilador|TV,Refrigeração,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52675,Norte,RR,Boa Vista,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.800000000000001,45.0,5.418000000000001,0.0,0.0,,Sempre,Sempre,Sempre,,,,,Sempre,Raramente,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Geladeira|Ventilador|Liquidificador,Refrigeração,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52676,Norte,RR,Boa Vista,1.0,0.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4.56,45.0,142.128,0.0,6.768,,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Raramente,Sempre,Sempre,Sempre,Sempre,Sempre,Ventilador|Geladeira|TV,Climatização,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52682,Nordeste,CE,Fortaleza,1.0,0.0,2.0,5.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,7.274999999999999,45.0,35.532000000000004,0.0,37.224,,Raramente,Sempre,Normalmente,,,,,Sempre,Sempre,Sempre,Raramente,Raramente,Normalmente,Normalmente,Sempre,Raramente,Geladeira|TV|Ventilador,Refrigeração,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,1,6.77,1,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1,0.43,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52683,Nordeste,CE,Fortaleza,1.0,0.0,2.0,5.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,9.075,45.0,35.532000000000004,0.0,88.17965,,Sempre,Sempre,Normalmente,,,,,Sempre,Sempre,Raramente,Sempre,Sempre,Nunca,Normalmente,Sempre,Sempre,TV|Geladeira|Ventilador,Tecnologia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52684,Nordeste,CE,Fortaleza,2.0,1.0,2.0,14.0,1.0,0.0,1.0,2.0,1.0,4.0,3.0,26.34,90.0,162.14399999999998,5.64,189.36633333333333,,Sempre,Sempre,Nunca,Sempre,Sempre,,,Sempre,Sempre,Normalmente,Sempre,Sempre,Raramente,Sempre,Sempre,Sempre,TV|Ar-condicionado|Ar-condicionado Split,Tecnologia,0,0.0,0,0.0,2,121.82,1,150.3,0,0.0,1,0.03,1,8.46,2,13.54,1,0.0,0,0.0,0,0.0,2,23.12,0,0.0,1,2.82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52685,Norte,RR,Boa Vista,1.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,31.11,45.0,0.0,0.0,0.0,261.0,Nunca,Sempre,Sempre,,,,,Nunca,Nunca,Nunca,Nunca,Sempre,Sempre,Sempre,Normalmente,Sempre,Geladeira|Lâmpada Fluorescente|N/A,Refrigeração,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52687,Norte,RR,Boa Vista,1.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,30.9,45.0,0.0,0.0,27.072,195.0,Raramente,Sempre,Raramente,Sempre,Sempre,,,Normalmente,Nunca,Nunca,Nunca,Nunca,Nunca,Raramente,Sempre,Sempre,Fogão Elétrico|Lâmpada Incandescente|TV,Eletrodomésticos,0,0.0,1,25.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.47,0,0.0,1,0.43,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,42.77
52689,Nordeste,CE,Fortaleza,1.0,0.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,9.6,45.0,71.06400000000001,0.0,27.072,,Sempre,Sempre,Raramente,,,,,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Ventilador|Bebedouro|Geladeira,Climatização,0,0.0,0,0.0,1,60.91,0,0.0,0,0.0,0,0.0,0,0.0,1,6.77,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.78,0,0.0,1,2.79,0,0.0,0,0.0,0,0.0,0,0.0
52690,Nordeste,CE,Fortaleza,1.0,0.0,1.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,15.675,45.0,17.766000000000002,0.8599999999999999,54.144,,Sempre,Sempre,Raramente,,,,,Sempre,Sempre,Raramente,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,TV|Geladeira|Ventilador,Tecnologia,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.77,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52692,Nordeste,CE,Fortaleza,1.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10.410000000000002,45.0,0.21,0.1999999999999999,27.072,,Sempre,Sempre,Raramente,,,,,Sempre,Sempre,Raramente,Sempre,Sempre,Nunca,Sempre,Sempre,Sempre,Geladeira|TV|Lâmpada Fluorescente,Refrigeração,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52693,Nordeste,CE,Fortaleza,1.0,0.0,2.0,7.0,1.0,0.0,1.0,1.0,0.0,2.0,1.0,8.700000000000001,45.0,71.06400000000001,11.562,41.10395,,Sempre,Sempre,Normalmente,,,,,Sempre,Sempre,Nunca,Sempre,Sempre,Sempre,Sempre,Sempre,Sempre,Ventilador|Bebedouro|Geladeira,Climatização,0,0.0,0,0.0,1,60.91,0,0.0,0,0.0,0,0.0,1,0.5,1,6.77,1,0.0,0,0.0,0,0.0,1,0.82,0,0.0,1,2.82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52694,Nordeste,CE,Fortaleza,1.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.055,45.0,35.532000000000004,0.0,16.919999999999998,,Sempre,Sempre,Normalmente,,,,,Sempre,Sempre,Raramente,Sempre,Sempre,Nunca,Sempre,Sempre,Sempre,Geladeira|Ventilador|TV,Refrigeração,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,1,2.82,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52696,Norte,RR,Boa Vista,1.0,1.0,1.0,6.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,6.749999999999998,45.0,9.87,0.0,121.824,,Sempre,Sempre,Sempre,Sempre,Sempre,,,Sempre,Sempre,Nunca,Nunca,Nunca,Nunca,Raramente,Sempre,Sempre,Computador Desktop|Bebedouro|Geladeira,Tecnologia,0,0.0,0,0.0,1,60.91,1,0.0,0,0.0,1,101.52,0,0.0,1,6.77,1,0.0,0,0.0,0,0.0,1,0.41,0,0.0,1,1.96,1,0.05,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52697,Norte,RR,Boa Vista,1.0,3.0,1.0,18.0,1.0,0.0,1.0,3.0,0.0,2.0,2.0,14.759999999999998,45.0,5.922000000000001,0.1999999999999999,10.185333333333332,1000.8333333333334,Normalmente,Sempre,Normalmente,Sempre,Sempre,,,Sempre,Sempre,Nunca,Nunca,Sempre,Sempre,Sempre,Sempre,Sempre,Fogão Elétrico|Geladeira|Ferro de Passar,Eletrodomésticos,0,0.0,0,0.0,0,0.0,3,0.0,0,0.0,1,0.03,2,10.15,1,6.77,1,0.0,0,0.0,0,0.0,1,15.48,0,0.0,1,2.82,1,0.05,0,0.0,0,0.0,0,0.0,0,0.0,2,169.2
52699,Norte,RR,Boa Vista,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.08,45.0,9.87,0.0,3.384,,Sempre,Sempre,Sempre,,,,,Sempre,Sempre,Sempre,Sempre,Sempre,Nunca,Sempre,Sempre,Sempre,Geladeira|Ventilador|TV,Refrigeração,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.96,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
52700,Norte,RR,Boa Vista,1.0,2.0,1.0,12.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,8.7,45.0,9.87,0.1999999999999999,1.1562,670.0,Sempre,Sempre,Raramente,Sempre,Raramente,Sempre,Sempre,Sempre,Sempre,Nunca,Nunca,Sempre,Sempre,Sempre,Sempre,Sempre,Bebedouro|Geladeira|Fogão Elétrico,Refrigeração,0,0.0,0,0.0,1,60.91,2,0.0,0,0.0,0,0.0,2,1.16,1,6.77,1,0.0,0,0.0,0,0.0,1,0.86,0,0.0,1,2.82,0,0.0,0,0.0,1,1.41,0,0.0,0,0.0,1,42.77
52701,Norte,RR,Boa Vista,1.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0,11.4,45.0,157.62283333333335,0.1999999999999999,0.041,389.9166666666667,Sempre,Sempre,Raramente,Sempre,Raramente,,,Sempre,Sempre,Sempre,Nunca,Sempre,Sempre,Sempre,Sempre,Sempre,Ar-condicionado|Ar-condicionado Split|Bebedouro,Climatização,1,40.0,0,0.0,1,60.91,1,157.58,0,0.0,0,0.0,1,0.04,1,6.77,1,0.0,0,0.0,0,0.0,1,0.2,0,0.0,1,0.43,1,0.05,0,0.0,0,0.0,0,0.0,2,0.5,1,1.52
