client_id,consumption_kwh,peak_hour_usage,equipment_quantity,property_type,high_consumption_hours,highest_consumption_category,category
56,385.8,0,12,Apartamento,4.4,Iluminação,Bom
57,457.3,0,5,Casa,11.5,Refrigeração,Bom
58,321.7,0,1,Casa,6.1,Serviços,Excelente
59,650.5,0,22,Casa,7.7,Serviços,Mediano
60,853.8,0,24,Comercial,1.5,Tecnologia,Bom
61,506.2,1,16,Apartamento,5.7,Iluminação,Crítico
62,603.4,1,21,Apartamento,6.2,Tecnologia,Crítico
63,813.3,0,21,Comercial,4.6,Iluminação,Bom
64,432.4,0,9,Apartamento,7.9,Eletrodomésticos,Bom
65,746.7,0,21,Comercial,2.5,Climatização,Bom
66,793.2,1,24,Casa,9.7,Climatização,Crítico
67,331.2,0,13,Apartamento,3.9,Outros,Bom
68,835.6,0,10,Comercial,10.7,Climatização,Bom
69,677.5,1,7,Comercial,0.2,Refrigeração,Mediano
70,427.9,1,8,Casa,0.8,Climatização,Mediano
71,500.6,0,4,Comercial,0.4,Climatização,Excelente
72,598.4,0,24,Casa,10.1,Refrigeração,Mediano
73,765.2,0,18,Comercial,8.4,Refrigeração,Bom
74,471.7,1,5,Casa,7.7,Serviços,Ruim
75,641.3,1,22,Casa,4.9,Outros,Crítico
76,506.0,0,16,Apartamento,11.3,Refrigeração,Ruim
77,682.4,1,6,Comercial,3.5,Climatização,Mediano
78,689.5,1,3,Comercial,11.0,Eletrodomésticos,Mediano
79,815.5,1,14,Comercial,8.4,Refrigeração,Ruim
80,511.9,1,25,Apartamento,1.4,Refrigeração,Crítico
81,839.9,0,15,Comercial,9.7,Refrigeração,Bom
82,422.3,0,10,Casa,0.8,Eletrodomésticos,Excelente
83,305.1,0,5,Casa,1.5,Climatização,Excelente
84,774.9,0,10,Comercial,8.9,Eletrodomésticos,Bom
85,605.6,0,1,Comercial,2.9,Refrigeração,Excelente
86,317.9,0,7,Apartamento,9.1,Refrigeração,Bom
87,767.6,1,19,Comercial,7.1,Iluminação,Ruim
88,621.5,0,8,Casa,11.7,Tecnologia,Mediano
89,486.4,0,15,Apartamento,9.7,Climatização,Mediano
90,585.3,1,20,Apartamento,8.8,Tecnologia,Crítico
91,449.8,0,21,Casa,1.0,Outros,Bom
92,276.8,1,4,Apartamento,1.2,Eletrodomésticos,Mediano
93,383.2,0,7,Apartamento,9.5,Iluminação,Bom
94,426.5,1,6,Casa,3.2,Outros,Mediano
95,778.3,0,9,Comercial,11.8,Serviços,Bom
96,636.3,0,23,Casa,9.5,Serviços,Mediano
97,310.9,0,7,Apartamento,1.2,Iluminação,Excelente
98,883.3,0,22,Comercial,6.0,Refrigeração,Bom
99,847.9,1,21,Comercial,6.4,Refrigeração,Crítico
100,590.0,1,7,Comercial,2.7,Climatização,Mediano
101,755.2,0,5,Comercial,10.1,Climatização,Excelente
102,583.3,1,23,Casa,7.9,Refrigeração,Crítico
103,344.4,0,17,Apartamento,3.3,Outros,Bom
104,429.6,0,13,Apartamento,5.9,Climatização,Bom
105,743.8,0,10,Comercial,10.0,Refrigeração,Bom
106,380.6,0,14,Apartamento,9.8,Tecnologia,Mediano
107,690.9,1,19,Casa,9.5,Eletrodomésticos,Crítico
108,352.5,1,2,Casa,0.8,Climatização,Bom
109,450.9,0,6,Casa,11.1,Tecnologia,Bom
110,327.2,1,10,Apartamento,0.5,Refrigeração,Mediano
111,514.3,1,3,Casa,9.7,Tecnologia,Ruim
112,737.3,0,9,Comercial,8.0,Refrigeração,Excelente
113,499.9,1,11,Casa,5.4,Iluminação,Ruim
114,281.1,0,11,Apartamento,0.6,Iluminação,Excelente
115,499.3,0,17,Casa,2.5,Iluminação,Bom
116,796.4,0,20,Comercial,11.9,Climatização,Mediano
117,317.7,0,5,Casa,0.4,Refrigeração,Excelente
118,825.1,0,8,Comercial,6.9,Refrigeração,Excelente
119,782.2,0,20,Comercial,4.5,Serviços,Bom
120,606.6,1,24,Apartamento,7.6,Eletrodomésticos,Crítico
121,690.6,0,24,Casa,10.1,Serviços,Ruim
122,648.8,0,19,Casa,9.9,Refrigeração,Mediano
123,506.0,0,17,Casa,4.9,Outros,Bom
124,704.9,1,10,Comercial,0.9,Climatização,Mediano
125,681.5,1,19,Casa,7.2,Tecnologia,Crítico
126,604.4,1,24,Apartamento,4.0,Eletrodomésticos,Crítico
127,701.1,0,25,Casa,7.3,Eletrodomésticos,Mediano
128,395.1,1,5,Casa,3.9,Climatização,Mediano
129,608.8,1,21,Apartamento,10.0,Climatização,Crítico
130,520.8,1,15,Casa,0.7,Eletrodomésticos,Ruim
131,691.7,1,1,Comercial,11.4,Climatização,Mediano
132,521.7,1,14,Apartamento,11.6,Tecnologia,Crítico
133,615.8,1,2,Comercial,3.3,Eletrodomésticos,Bom
134,741.4,0,18,Comercial,5.1,Serviços,Bom
135,931.3,1,21,Comercial,3.9,Refrigeração,Ruim
136,312.9,1,7,Apartamento,0.1,Climatização,Mediano
137,469.7,1,18,Apartamento,5.3,Serviços,Crítico
138,725.4,0,8,Comercial,11.1,Refrigeração,Bom
139,676.9,0,10,Comercial,5.1,Serviços,Excelente
140,317.2,0,1,Casa,6.7,Serviços,Excelente
141,479.0,0,12,Apartamento,7.9,Refrigeração,Mediano
142,506.3,0,19,Apartamento,6.2,Climatização,Mediano
143,699.8,0,10,Comercial,8.5,Refrigeração,Excelente
144,436.2,1,1,Casa,10.8,Outros,Ruim
145,969.0,1,23,Comercial,11.5,Serviços,Crítico
146,417.6,1,15,Apartamento,2.8,Refrigeração,Ruim
147,242.1,0,8,Apartamento,2.8,Refrigeração,Excelente
148,810.6,0,17,Comercial,10.4,Outros,Bom
149,669.5,1,5,Comercial,2.6,Refrigeração,Mediano
150,681.0,1,25,Casa,5.0,Refrigeração,Crítico
151,304.2,1,7,Apartamento,3.7,Outros,Mediano
152,681.0,1,22,Casa,10.2,Tecnologia,Crítico
153,762.6,0,24,Casa,9.8,Iluminação,Ruim
154,806.6,0,8,Comercial,10.9,Climatização,Bom
155,725.8,1,17,Casa,11.7,Iluminação,Crítico
156,653.0,0,7,Comercial,2.5,Climatização,Excelente
157,643.5,0,17,Casa,9.4,Eletrodomésticos,Mediano
158,432.4,0,5,Casa,11.8,Refrigeração,Bom
159,408.8,1,2,Casa,3.2,Outros,Mediano
160,351.7,0,8,Casa,4.5,Iluminação,Excelente
161,543.7,1,23,Apartamento,3.3,Refrigeração,Crítico
162,789.6,1,6,Comercial,11.4,Refrigeração,Ruim
163,515.2,0,23,Casa,1.0,Outros,Bom
164,697.6,0,6,Comercial,8.8,Climatização,Excelente
165,781.3,0,22,Comercial,3.1,Serviços,Bom
166,599.9,1,22,Apartamento,9.5,Tecnologia,Crítico
167,833.5,0,22,Comercial,6.3,Climatização,Bom
168,637.3,0,10,Comercial,2.3,Refrigeração,Excelente
169,521.1,1,18,Apartamento,7.5,Iluminação,Crítico
170,746.3,0,11,Comercial,6.9,Eletrodomésticos,Excelente
171,669.8,1,5,Comercial,6.3,Climatização,Mediano
172,507.9,1,12,Casa,8.6,Eletrodomésticos,Ruim
173,492.4,1,11,Apartamento,9.5,Climatização,Crítico
174,512.4,1,24,Apartamento,8.3,Iluminação,Crítico
175,492.7,0,20,Apartamento,2.0,Eletrodomésticos,Mediano
176,479.6,1,5,Casa,4.1,Climatização,Mediano
177,352.6,0,7,Apartamento,5.5,Eletrodomésticos,Bom
178,482.7,1,16,Apartamento,7.4,Tecnologia,Crítico
179,262.9,0,10,Apartamento,2.8,Serviços,Excelente
180,752.4,1,20,Casa,9.1,Tecnologia,Crítico
181,582.4,0,19,Casa,5.1,Eletrodomésticos,Bom
182,660.8,1,23,Apartamento,6.8,Refrigeração,Crítico
183,375.9,0,2,Casa,5.3,Refrigeração,Excelente
184,811.3,0,14,Comercial,7.1,Refrigeração,Bom
185,656.4,0,4,Comercial,4.7,Climatização,Excelente
186,343.7,0,11,Apartamento,4.1,Eletrodomésticos,Bom
187,643.4,0,20,Casa,4.2,Outros,Mediano
188,402.4,0,3,Casa,4.7,Iluminação,Excelente
189,572.8,0,2,Comercial,4.8,Climatização,Excelente
190,423.5,1,5,Casa,2.6,Tecnologia,Mediano
191,682.1,1,2,Comercial,5.9,Climatização,Mediano
192,618.3,0,4,Comercial,6.7,Climatização,Excelente
193,342.7,1,6,Apartamento,6.4,Eletrodomésticos,Ruim
194,655.6,1,4,Comercial,6.8,Eletrodomésticos,Mediano
195,740.0,1,20,Casa,10.6,Outros,Crítico
196,943.5,1,25,Comercial,8.2,Climatização,Crítico
197,413.8,1,15,Apartamento,4.4,Eletrodomésticos,Crítico
198,697.5,0,14,Comercial,3.4,Eletrodomésticos,Excelente
199,421.9,0,20,Apartamento,0.5,Tecnologia,Bom
200,674.1,1,22,Casa,11.3,Tecnologia,Crítico
201,702.2,1,16,Comercial,3.1,Refrigeração,Ruim
202,412.2,0,11,Casa,3.3,Eletrodomésticos,Excelente
203,808.1,0,19,Comercial,1.8,Climatização,Bom
204,668.0,0,9,Comercial,7.2,Climatização,Excelente
205,442.7,0,9,Casa,4.8,Outros,Excelente
206,294.8,1,5,Apartamento,4.7,Eletrodomésticos,Mediano
207,450.4,1,15,Apartamento,3.3,Serviços,Crítico
208,556.8,0,23,Casa,2.5,Iluminação,Bom
209,391.3,0,10,Apartamento,8.3,Iluminação,Bom
210,632.7,1,5,Comercial,3.2,Refrigeração,Mediano
211,329.8,1,10,Apartamento,2.7,Refrigeração,Ruim
212,625.2,0,20,Casa,10.0,Tecnologia,Mediano
213,485.0,1,12,Apartamento,6.8,Climatização,Crítico
214,330.4,0,14,Apartamento,1.5,Climatização,Bom
215,732.9,1,8,Comercial,4.5,Iluminação,Mediano
216,640.5,1,18,Casa,7.7,Outros,Crítico
217,573.0,1,24,Apartamento,1.8,Outros,Crítico
218,812.7,0,17,Comercial,7.7,Climatização,Bom
219,183.3,0,3,Apartamento,2.7,Tecnologia,Excelente
220,774.0,0,16,Comercial,7.1,Outros,Bom
221,687.1,1,25,Casa,2.9,Serviços,Crítico
222,585.5,1,3,Comercial,2.4,Iluminação,Bom
223,637.4,0,2,Comercial,6.9,Climatização,Excelente
224,462.3,1,13,Casa,1.3,Eletrodomésticos,Mediano
225,733.2,1,22,Casa,10.2,Eletrodomésticos,Crítico
226,688.9,0,24,Apartamento,10.6,Climatização,Crítico
227,811.3,1,21,Comercial,8.7,Climatização,Crítico
228,500.2,1,9,Casa,4.6,Eletrodomésticos,Ruim
229,456.7,1,9,Apartamento,8.6,Outros,Crítico
230,160.8,0,1,Apartamento,2.6,Outros,Excelente
231,466.0,1,11,Apartamento,8.7,Outros,Crítico
232,507.9,1,12,Casa,8.9,Tecnologia,Ruim
233,560.0,1,22,Apartamento,11.2,Outros,Crítico
234,872.4,1,12,Comercial,11.6,Climatização,Crítico
235,560.8,1,13,Casa,9.8,Eletrodomésticos,Crítico
236,502.4,0,24,Apartamento,10.0,Eletrodomésticos,Ruim
237,659.5,0,13,Comercial,2.6,Climatização,Excelente
238,788.5,1,1,Comercial,10.9,Climatização,Mediano
239,647.6,1,8,Comercial,1.1,Iluminação,Mediano
240,776.9,0,13,Comercial,9.6,Iluminação,Bom
241,531.1,1,14,Casa,5.4,Climatização,Ruim
242,392.2,1,6,Apartamento,8.6,Climatização,Ruim
243,412.0,1,10,Apartamento,8.6,Iluminação,Crítico
244,517.0,1,5,Casa,9.2,Outros,Ruim
245,842.6,1,21,Comercial,3.2,Refrigeração,Ruim
246,462.4,1,6,Casa,6.3,Outros,Ruim
247,408.5,0,21,Apartamento,11.8,Tecnologia,Ruim
248,840.1,0,13,Comercial,10.8,Eletrodomésticos,Bom
249,882.7,1,19,Comercial,10.8,Refrigeração,Crítico
250,403.7,1,8,Apartamento,6.8,Iluminação,Ruim
251,480.4,0,24,Apartamento,11.4,Tecnologia,Ruim
252,594.8,0,2,Comercial,5.1,Refrigeração,Excelente
253,347.5,0,11,Apartamento,3.8,Climatização,Bom
254,626.1,1,16,Casa,10.5,Climatização,Crítico
255,769.8,1,13,Comercial,6.7,Refrigeração,Ruim
256,594.5,0,25,Apartamento,7.5,Eletrodomésticos,Ruim
257,569.9,1,18,Casa,5.1,Serviços,Crítico
258,627.5,0,2,Comercial,6.0,Refrigeração,Excelente
259,668.3,1,10,Casa,11.5,Iluminação,Crítico
260,806.7,0,18,Comercial,0.6,Climatização,Excelente
261,404.3,1,5,Casa,4.9,Serviços,Mediano
262,530.2,0,22,Casa,5.0,Eletrodomésticos,Bom
263,434.1,0,2,Casa,10.6,Eletrodomésticos,Excelente
264,344.8,0,2,Apartamento,11.3,Iluminação,Bom
265,367.6,1,12,Apartamento,2.4,Serviços,Ruim
266,425.3,1,11,Casa,1.2,Outros,Mediano
267,632.2,0,22,Casa,8.5,Eletrodomésticos,Mediano
268,685.0,0,9,Comercial,2.3,Eletrodomésticos,Excelente
269,495.1,0,22,Casa,0.0,Tecnologia,Bom
270,518.6,1,22,Casa,0.8,Outros,Ruim
271,571.2,1,13,Apartamento,8.8,Tecnologia,Crítico
272,665.3,1,21,Casa,7.1,Tecnologia,Crítico
273,435.5,1,8,Casa,2.0,Eletrodomésticos,Mediano
274,908.2,0,23,Comercial,3.3,Refrigeração,Bom
275,290.9,0,7,Apartamento,4.8,Iluminação,Excelente
276,557.7,1,21,Apartamento,6.0,Eletrodomésticos,Crítico
277,435.7,0,20,Apartamento,0.9,Iluminação,Bom
278,549.4,0,18,Apartamento,8.0,Climatização,Ruim
279,526.6,1,9,Casa,7.3,Tecnologia,Ruim
280,626.0,0,13,Casa,8.7,Outros,Mediano
281,705.7,1,18,Casa,10.7,Climatização,Crítico
282,536.9,0,20,Casa,0.3,Climatização,Bom
283,438.6,0,19,Apartamento,0.6,Refrigeração,Bom
284,633.2,1,3,Comercial,2.1,Serviços,Bom
285,646.8,1,25,Apartamento,10.0,Climatização,Crítico
286,863.0,1,21,Comercial,9.8,Climatização,Crítico
287,714.6,0,10,Comercial,7.9,Refrigeração,Excelente
288,506.7,0,15,Apartamento,6.6,Eletrodomésticos,Mediano
289,524.7,1,10,Apartamento,10.1,Climatização,Crítico
290,885.6,1,12,Comercial,11.7,Refrigeração,Crítico
291,521.2,0,19,Casa,0.4,Climatização,Bom
292,842.6,0,14,Comercial,9.9,Refrigeração,Bom
293,580.9,0,19,Casa,6.7,Eletrodomésticos,Mediano
294,514.7,1,3,Casa,10.2,Climatização,Ruim
295,359.8,1,17,Apartamento,0.2,Serviços,Ruim
296,547.6,0,17,Casa,3.9,Iluminação,Bom
297,649.9,0,25,Casa,6.7,Serviços,Mediano
298,215.4,1,1,Apartamento,0.1,Tecnologia,Bom
299,776.8,1,24,Comercial,2.9,Iluminação,Ruim
300,467.2,0,24,Casa,0.1,Climatização,Bom
301,593.8,0,22,Casa,10.4,Climatização,Mediano
302,811.2,1,8,Comercial,10.7,Tecnologia,Ruim
303,686.5,1,20,Casa,5.8,Eletrodomésticos,Crítico
304,393.0,0,17,Apartamento,0.8,Iluminação,Bom
305,260.9,0,2,Apartamento,8.0,Climatização,Excelente
306,692.0,1,14,Comercial,1.1,Outros,Mediano
307,317.1,0,9,Apartamento,6.3,Iluminação,Bom
308,792.5,0,21,Comercial,5.9,Refrigeração,Bom
309,500.9,1,16,Casa,2.7,Refrigeração,Ruim
310,668.7,1,1,Comercial,6.8,Tecnologia,Mediano
311,504.9,0,6,Comercial,1.8,Refrigeração,Excelente
312,457.0,1,8,Casa,8.0,Eletrodomésticos,Ruim
313,821.4,1,14,Comercial,7.0,Tecnologia,Ruim
314,624.3,1,9,Casa,10.5,Eletrodomésticos,Crítico
315,427.3,0,17,Apartamento,7.6,Climatização,Mediano
316,420.7,1,13,Apartamento,2.7,Tecnologia,Ruim
317,374.8,1,15,Apartamento,1.4,Refrigeração,Ruim
318,536.8,0,17,Casa,3.6,Iluminação,Bom
319,477.8,1,12,Casa,2.2,Iluminação,Ruim
320,486.6,0,25,Apartamento,5.8,Outros,Ruim
321,653.1,1,10,Casa,9.1,Outros,Crítico
322,482.3,0,1,Casa,10.9,Serviços,Excelente
323,363.9,1,5,Apartamento,7.5,Tecnologia,Ruim
324,769.3,1,15,Comercial,6.2,Climatização,Ruim
325,439.4,1,17,Apartamento,2.9,Climatização,Crítico
326,617.0,0,8,Comercial,2.7,Refrigeração,Excelente
327,394.7,0,8,Casa,0.1,Tecnologia,Excelente
328,747.6,0,23,Casa,10.5,Tecnologia,Ruim
329,495.6,0,10,Casa,9.5,Iluminação,Bom
330,567.4,1,24,Apartamento,8.7,Refrigeração,Crítico
331,414.5,1,13,Apartamento,5.4,Outros,Crítico
332,275.6,0,4,Apartamento,7.7,Eletrodomésticos,Excelente
333,591.6,1,21,Casa,5.0,Serviços,Crítico
334,390.5,0,14,Casa,2.3,Outros,Excelente
335,395.2,0,7,Apartamento,9.2,Refrigeração,Bom
336,830.7,1,11,Comercial,9.3,Climatização,Ruim
337,603.4,1,22,Apartamento,11.4,Serviços,Crítico
338,769.4,0,15,Comercial,6.6,Refrigeração,Bom
339,398.0,0,12,Apartamento,0.1,Iluminação,Bom
340,374.8,0,21,Apartamento,1.4,Tecnologia,Bom
341,1013.6,0,22,Comercial,10.4,Climatização,Mediano
342,214.0,0,7,Apartamento,3.4,Eletrodomésticos,Excelente
343,503.7,0,22,Apartamento,4.6,Eletrodomésticos,Mediano
344,585.5,1,22,Apartamento,5.9,Eletrodomésticos,Crítico
345,607.4,0,13,Casa,11.2,Eletrodomésticos,Mediano
346,492.1,1,10,Casa,4.3,Outros,Ruim
347,396.4,1,13,Apartamento,5.5,Iluminação,Crítico
348,303.0,1,10,Apartamento,2.3,Outros,Mediano
349,873.5,1,18,Comercial,9.0,Refrigeração,Crítico
350,699.4,1,3,Comercial,5.6,Refrigeração,Mediano
351,485.2,0,10,Casa,6.1,Serviços,Bom
352,922.0,1,17,Comercial,7.6,Refrigeração,Ruim
353,689.1,1,3,Comercial,9.9,Climatização,Mediano
354,534.6,1,25,Apartamento,7.2,Eletrodomésticos,Crítico
355,470.0,0,13,Apartamento,8.8,Refrigeração,Mediano
356,343.8,0,3,Casa,4.2,Tecnologia,Excelente
357,745.6,1,11,Comercial,2.5,Eletrodomésticos,Mediano
358,803.2,0,12,Comercial,10.6,Eletrodomésticos,Bom
359,410.1,0,19,Apartamento,0.6,Tecnologia,Bom
360,751.0,0,6,Comercial,11.3,Refrigeração,Bom
361,533.0,0,3,Comercial,0.6,Outros,Excelente
362,584.3,1,22,Casa,0.6,Outros,Ruim
363,427.4,0,16,Apartamento,7.1,Serviços,Mediano
364,596.8,0,23,Casa,6.0,Refrigeração,Mediano
365,392.8,0,9,Apartamento,9.0,Eletrodomésticos,Bom
366,832.8,1,17,Comercial,11.1,Climatização,Crítico
367,278.3,0,1,Apartamento,4.6,Iluminação,Excelente
368,612.8,1,24,Casa,5.5,Serviços,Crítico
369,563.7,0,5,Comercial,0.4,Climatização,Excelente
370,371.4,0,10,Apartamento,10.0,Iluminação,Bom
371,735.2,1,5,Comercial,4.9,Climatização,Mediano
372,375.0,1,5,Apartamento,7.1,Iluminação,Ruim
373,339.7,1,4,Casa,0.8,Tecnologia,Bom
374,859.6,0,16,Comercial,8.7,Refrigeração,Bom
375,586.8,1,7,Casa,11.5,Iluminação,Crítico
376,312.9,0,11,Apartamento,0.7,Eletrodomésticos,Excelente
377,676.1,1,8,Comercial,2.0,Refrigeração,Mediano
378,478.7,1,10,Casa,5.6,Serviços,Ruim
379,422.3,0,11,Casa,5.4,Climatização,Excelente
380,947.5,1,21,Comercial,10.2,Eletrodomésticos,Crítico
381,741.3,0,20,Casa,11.7,Outros,Ruim
382,903.4,1,16,Comercial,9.8,Climatização,Crítico
383,628.9,0,10,Comercial,2.7,Climatização,Excelente
384,615.2,0,3,Comercial,3.2,Refrigeração,Excelente
385,396.4,1,14,Apartamento,0.3,Refrigeração,Ruim
386,687.2,1,2,Comercial,9.6,Refrigeração,Mediano
387,820.4,0,20,Comercial,4.1,Climatização,Bom
388,475.1,0,23,Casa,2.7,Outros,Bom
389,515.6,1,17,Casa,9.4,Serviços,Crítico
390,351.4,0,14,Apartamento,1.3,Serviços,Bom
391,680.2,1,1,Comercial,9.1,Eletrodomésticos,Mediano
392,867.9,0,9,Comercial,11.7,Climatização,Bom
393,508.8,0,21,Apartamento,8.4,Tecnologia,Ruim
394,740.3,1,16,Comercial,3.6,Serviços,Ruim
395,515.9,0,18,Casa,3.0,Outros,Bom
396,477.1,1,19,Casa,1.2,Climatização,Ruim
397,391.3,1,1,Casa,3.7,Tecnologia,Mediano
398,636.0,1,3,Comercial,4.0,Serviços,Mediano
399,911.8,1,9,Comercial,11.5,Refrigeração,Ruim
400,735.3,0,10,Comercial,4.2,Eletrodomésticos,Excelente
401,494.9,1,19,Apartamento,3.9,Eletrodomésticos,Crítico
402,588.2,1,22,Apartamento,7.8,Refrigeração,Crítico
403,943.0,1,22,Comercial,4.4,Climatização,Crítico
404,644.3,0,3,Comercial,5.6,Eletrodomésticos,Excelente
405,328.8,1,10,Apartamento,1.3,Eletrodomésticos,Mediano
406,681.4,0,3,Comercial,7.6,Tecnologia,Excelente
407,346.2,0,7,Apartamento,6.7,Tecnologia,Bom
408,729.9,1,25,Casa,9.1,Climatização,Crítico
409,319.7,1,5,Apartamento,7.4,Climatização,Ruim
410,614.6,0,7,Comercial,2.2,Outros,Excelente
411,746.7,1,19,Casa,10.5,Serviços,Crítico
412,467.9,1,12,Apartamento,7.8,Climatização,Crítico
413,434.4,0,24,Apartamento,1.7,Climatização,Mediano
414,343.7,1,2,Apartamento,6.6,Iluminação,Ruim
415,542.7,1,21,Casa,1.6,Climatização,Ruim
416,738.7,1,25,Casa,4.9,Climatização,Crítico
417,404.9,1,6,Apartamento,8.8,Iluminação,Ruim
418,310.5,0,15,Apartamento,4.2,Climatização,Bom
419,614.7,0,17,Casa,10.8,Iluminação,Mediano
420,330.0,1,1,Casa,5.4,Refrigeração,Mediano
421,619.1,0,5,Comercial,5.4,Iluminação,Excelente
422,966.4,1,21,Comercial,10.1,Serviços,Crítico
423,310.2,0,9,Apartamento,2.6,Serviços,Excelente
424,367.6,0,1,Casa,4.0,Climatização,Excelente
425,941.2,1,24,Comercial,11.4,Climatização,Crítico
426,891.8,0,24,Comercial,7.6,Refrigeração,Mediano
427,626.9,0,12,Comercial,3.0,Eletrodomésticos,Excelente
428,292.9,1,9,Apartamento,2.3,Climatização,Mediano
429,833.5,1,19,Comercial,7.5,Climatização,Ruim
430,428.2,0,13,Casa,4.2,Outros,Excelente
431,713.6,1,9,Comercial,5.6,Refrigeração,Mediano
432,393.9,0,3,Casa,5.4,Iluminação,Excelente
433,372.5,0,4,Casa,7.3,Serviços,Excelente
434,922.5,1,17,Comercial,9.0,Refrigeração,Crítico
435,530.3,1,15,Apartamento,9.1,Tecnologia,Crítico
436,149.0,0,1,Apartamento,0.2,Iluminação,Excelente
437,797.4,0,19,Comercial,6.3,Climatização,Bom
438,516.7,1,11,Casa,8.8,Tecnologia,Ruim
439,560.3,1,15,Apartamento,11.4,Eletrodomésticos,Crítico
440,617.3,1,19,Apartamento,5.2,Refrigeração,Crítico
441,497.1,0,1,Comercial,3.0,Climatização,Excelente
442,505.9,0,15,Apartamento,10.0,Climatização,Mediano
443,443.4,0,19,Casa,0.7,Tecnologia,Bom
444,304.1,0,6,Apartamento,11.5,Outros,Bom
445,747.7,1,25,Casa,9.5,Serviços,Crítico
446,307.8,1,5,Apartamento,4.2,Refrigeração,Mediano
447,411.4,0,1,Casa,7.1,Tecnologia,Excelente
448,419.0,0,11,Casa,3.7,Eletrodomésticos,Excelente
449,437.8,1,6,Casa,8.7,Iluminação,Ruim
450,391.3,0,12,Apartamento,11.6,Iluminação,Mediano
451,439.9,1,12,Casa,0.2,Tecnologia,Mediano
452,465.6,0,9,Casa,8.4,Eletrodomésticos,Bom
453,720.2,1,24,Casa,4.8,Serviços,Crítico
454,870.0,1,16,Comercial,4.9,Climatização,Ruim
455,949.2,0,24,Comercial,8.5,Iluminação,Mediano
456,438.2,0,8,Casa,3.1,Eletrodomésticos,Excelente
457,521.6,0,21,Apartamento,5.0,Climatização,Mediano
458,772.7,1,14,Comercial,3.1,Refrigeração,Mediano
459,934.1,1,24,Comercial,8.9,Refrigeração,Crítico
460,741.2,1,11,Comercial,3.4,Refrigeração,Mediano
